 ========================================================================
 Mesh information:
 Nx =                   15     -    Ny =                    15
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   18000.0000      0.0000      0.0000   1396.9436    703.0000     48.5619
   18200.0000      0.0000      0.0000   1396.9416    703.0000     48.5618
   18400.0000      0.0000      0.0000   1396.9399    703.0000     48.5617
                                                                         
                                                                         
 ========================================================================
 Npos =  2
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0143    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0143    473.7213    507.9622     54.7867
     400.0000      0.0000      0.0143    586.9962    581.9369     49.5593
     600.0000      0.0000      0.0143    677.2067    622.2260     45.7124
     800.0000      0.0000      0.0143    753.5257    649.4553     42.9016
    1000.0000      0.0000      0.0143    818.5528    685.6450     40.9399
    1140.0000      0.0000      0.0143    858.6279    724.3979     39.9634
    1340.0000      0.0000      0.0143    980.8196   1008.6284     38.2395
    1540.0000      0.0000      0.0143   1069.2328   1000.2336     38.2890
    1740.0000      0.0000      0.0143   1140.3684    804.6651     39.1700
    1940.0000      0.0000      0.0143   1193.9617    717.5824     40.3372
    2140.0000      0.0000      0.0143   1233.3572    703.0000     41.4700
    2340.0000      0.0000      0.0143   1263.3067    703.0000     42.4849
    2540.0000      0.0000      0.0143   1287.2690    703.0000     43.3910
    2740.0000      0.0000      0.0143   1307.1636    703.0000     44.2059
    2940.0000      0.0000      0.0143   1323.9741    703.0000     44.9380
    3060.0000      0.0000      0.0143   1333.0688    703.0000     45.3505
    3260.0000      0.0000      0.0143   1389.1071    703.0000     48.1390
    3460.0000      0.0000      0.0143   1419.1106    703.0000     49.8001
    3660.0000      0.0000      0.0143   1438.1944    703.0000     50.9145
    3860.0000      0.0000      0.0143   1451.9439    703.0000     51.7445
    4060.0000      0.0000      0.0143   1462.5677    703.0000     52.4008
    4260.0000      0.0000      0.0143   1471.0852    703.0000     52.9362
    4460.0000      0.0000      0.0143   1478.0474    703.0000     53.3799
    4660.0000      0.0000      0.0143   1483.7979    703.0000     53.7504
    4860.0000      0.0000      0.0143   1488.5758    703.0000     54.0609
    4980.0000      0.0000      0.0143   1491.1352    703.0000     54.2283
    5180.0000      0.0000      0.0143   1490.1594    703.0000     54.1644
    5380.0000      0.0000      0.0143   1491.3294    703.0000     54.2410
    5580.0000      0.0000      0.0143   1493.0132    703.0000     54.3516
    5780.0000      0.0000      0.0143   1494.7031    703.0000     54.4628
    5980.0000      0.0000      0.0143   1496.2439    703.0000     54.5645
    6180.0000      0.0000      0.0143   1497.5961    703.0000     54.6539
    6380.0000      0.0000      0.0143   1498.7616    703.0000     54.7311
    6580.0000      0.0000      0.0143   1499.7565    703.0000     54.7972
    6780.0000      0.0000      0.0143   1500.6012    703.0000     54.8533
    6980.0000      0.0000      0.0143   1501.3158    703.0000     54.9009
    7180.0000      0.0000      0.0143   1501.9192    703.0000     54.9411
    7380.0000      0.0000      0.0143   1502.4279    703.0000     54.9751
    7580.0000      0.0000      0.0143   1502.8564    703.0000     55.0037
    7780.0000      0.0000      0.0143   1503.2171    703.0000     55.0277
    7980.0000      0.0000      0.0143   1503.5206    703.0000     55.0480
    8180.0000      0.0000      0.0143   1503.7758    703.0000     55.0651
    8380.0000      0.0000      0.0143   1503.9904    703.0000     55.0794
    8400.0000      0.0000      0.0143   1504.0114    703.0000     55.0808
    8600.0000      0.0000      0.0143   1458.3531    703.0000     52.1388
    8800.0000      0.0000      0.0143   1438.1321    703.0000     50.9108
    9000.0000      0.0000      0.0143   1427.2794    703.0000     50.2717
    9200.0000      0.0000      0.0143   1420.4640    703.0000     49.8777
    9400.0000      0.0000      0.0143   1415.7235    703.0000     49.6069
    9600.0000      0.0000      0.0143   1412.2137    703.0000     49.4083
    9800.0000      0.0000      0.0143   1409.5147    703.0000     49.2565
   10000.0000      0.0000      0.0143   1407.3891    703.0000     49.1377
   10200.0000      0.0000      0.0143   1405.6883    703.0000     49.0430
   10400.0000      0.0000      0.0143   1404.3121    703.0000     48.9666
   10600.0000      0.0000      0.0143   1403.1891    703.0000     48.9045
   10800.0000      0.0000      0.0143   1402.2667    703.0000     48.8536
   11000.0000      0.0000      0.0143   1401.5049    703.0000     48.8116
   11200.0000      0.0000      0.0143   1400.8731    703.0000     48.7769
   11400.0000      0.0000      0.0143   1400.3470    703.0000     48.7480
   11600.0000      0.0000      0.0143   1399.9076    703.0000     48.7239
   11800.0000      0.0000      0.0143   1399.5396    703.0000     48.7037
   12000.0000      0.0000      0.0143   1399.2308    703.0000     48.6868
   12200.0000      0.0000      0.0143   1398.9709    703.0000     48.6726
   12400.0000      0.0000      0.0143   1398.7517    703.0000     48.6606
   12600.0000      0.0000      0.0143   1398.5666    703.0000     48.6505
   12800.0000      0.0000      0.0143   1398.4100    703.0000     48.6419
   13000.0000      0.0000      0.0143   1398.2773    703.0000     48.6346
   13200.0000      0.0000      0.0143   1398.1648    703.0000     48.6285
   13400.0000      0.0000      0.0143   1398.0692    703.0000     48.6233
   13600.0000      0.0000      0.0143   1397.9880    703.0000     48.6188
   13800.0000      0.0000      0.0143   1397.9189    703.0000     48.6151
   14000.0000      0.0000      0.0143   1397.8601    703.0000     48.6119
   14200.0000      0.0000      0.0143   1397.8100    703.0000     48.6091
   14400.0000      0.0000      0.0143   1397.7673    703.0000     48.6068
   14600.0000      0.0000      0.0143   1397.7308    703.0000     48.6048
   14800.0000      0.0000      0.0143   1397.6997    703.0000     48.6031
   15000.0000      0.0000      0.0143   1397.6731    703.0000     48.6017
   15200.0000      0.0000      0.0143   1397.6503    703.0000     48.6004
   15400.0000      0.0000      0.0143   1397.6309    703.0000     48.5994
   15600.0000      0.0000      0.0143   1397.6142    703.0000     48.5984
   15800.0000      0.0000      0.0143   1397.6002    703.0000     48.5977
   16000.0000      0.0000      0.0143   1397.5881    703.0000     48.5970
   16200.0000      0.0000      0.0143   1397.5777    703.0000     48.5965
   16400.0000      0.0000      0.0143   1397.5688    703.0000     48.5960
   16600.0000      0.0000      0.0143   1397.5611    703.0000     48.5955
   16800.0000      0.0000      0.0143   1397.5545    703.0000     48.5952
   17000.0000      0.0000      0.0143   1397.5488    703.0000     48.5949
