 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         15
 Nodes in Y direction:                         15
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              247

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              247

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    2140.0000000000000       seconds
 Maximum Temperature :    1291.2065698555782
 Minimum Temperature :    876.50437537002608
 Average(algebraic, non-weigthed) Temperature :    1008.9714058479237
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1257.5880    703.0000     42.2809
            1           2      0.0000      0.0143   1233.3572    703.0000     41.4700
            1           3      0.0000      0.0286   1212.3278    703.0000     40.8365
            1           4      0.0000      0.0429   1195.0173    716.4317     40.3646
            1           5      0.0000      0.0571   1181.9411    732.2653     40.0378
            1           6      0.0000      0.0714   1173.4283    744.3956     39.8389
            1           7      0.0000      0.0857   1169.6599    750.2169     39.7543
            1           8      0.0000      0.1000   1170.6915    748.5958     39.7773
            1           9      0.0000      0.1143   1176.4624    739.9092     39.9085
            1          10      0.0000      0.1286   1186.7947    725.9891     40.1561
            1          11      0.0000      0.1429   1201.3800    703.0000     40.5328
            1          12      0.0000      0.1571   1219.6730    703.0000     41.0503
            1          13      0.0000      0.1714   1241.1687    703.0000     41.7220
            1          14      0.0000      0.1857   1265.2308    703.0000     42.5546
            1          15      0.0000      0.2000   1291.2066    703.0000     43.5478
            2           1      0.0714      0.0000   1131.3139    824.7045     39.0155
            2           2      0.0714      0.0143   1091.8356    928.8795     38.4865
            2           3      0.0714      0.0286   1058.1493   1038.1784     38.2200
            2           4      0.0714      0.0429   1031.3429   1245.8314     38.1281
            2           5      0.0714      0.0571   1012.9511   1148.7435     38.1261
            2           6      0.0714      0.0714   1001.7188   1095.7174     38.1489
            2           7      0.0714      0.0857    996.9852   1074.7112     38.1640
            2           8      0.0714      0.1000    998.4856   1081.2854     38.1588
            2           9      0.0714      0.1143   1006.2847   1116.7237     38.1374
            2          10      0.0714      0.1286   1020.8109   1188.6241     38.1209
            2          11      0.0714      0.1429   1043.0071   1093.0496     38.1551
            2          12      0.0714      0.1571   1072.4340    989.6310     38.3123
            2          13      0.0714      0.1714   1108.4128    881.8793     38.6801
            2          14      0.0714      0.1857   1149.5784    785.8153     39.3398
            2          15      0.0714      0.2000   1194.2594    717.2556     40.3449
            3           1      0.1429      0.0000   1068.7780   1001.7531     38.2858
            3           2      0.1429      0.0143   1024.8224   1209.8945     38.1218
            3           3      0.1429      0.0286    990.3208   1046.4298     38.1906
            3           4      0.1429      0.0429    964.1271    948.9537     38.3563
            3           5      0.1429      0.0571    945.4967    891.6420     38.5324
            3           6      0.1429      0.0714    933.9066    860.4778     38.6660
            3           7      0.1429      0.0857    929.0286    848.3156     38.7277
            3           8      0.1429      0.1000    930.7092    852.4440     38.7061
            3           9      0.1429      0.1143    938.9630    873.6726     38.6055
            3          10      0.1429      0.1286    953.9783    916.5831     38.4463
            3          11      0.1429      0.1429    976.1369    991.0448     38.2683
            3          12      0.1429      0.1571   1006.0491   1115.6214     38.1379
            3          13      0.1429      0.1714   1044.6934   1086.7687     38.1606
            3          14      0.1429      0.1857   1091.5283    929.7938     38.4834
            3          15      0.1429      0.2000   1144.3022    796.4230     39.2409
            4           1      0.2143      0.0000   1043.0947   1092.7220     38.1554
            4           2      0.2143      0.0143    998.1299   1079.7200     38.1600
            4           3      0.2143      0.0286    962.6548    944.0809     38.3685
            4           4      0.2143      0.0429    935.6635    864.9934     38.6446
            4           5      0.2143      0.0571    916.4400    819.3766     38.9015
            4           6      0.2143      0.0714    904.4914    794.9568     39.0859
            4           7      0.2143      0.0857    899.5058    785.5845     39.1683
            4           8      0.2143      0.1000    901.3283    788.9568     39.1378
            4           9      0.2143      0.1143    909.9512    805.7635     38.9993
            4          10      0.2143      0.1286    925.5149    839.8902     38.7741
