 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         15
 Nodes in Y direction:                         15
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:               29

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    200.00000000000000       seconds
 Maximum Temperature :    571.36408613412004
 Minimum Temperature :    345.96926263572681
 Average(algebraic, non-weigthed) Temperature :    398.59977407360043
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000    493.8185    521.8279     53.8514
            1           2      0.0000      0.0143    473.7213    507.9622     54.7867
            1           3      0.0000      0.0286    459.5379    498.4567     55.4440
            1           4      0.0000      0.0429    449.7636    492.1474     55.8948
            1           5      0.0000      0.0571    443.4464    488.2091     56.1849
            1           6      0.0000      0.0714    440.0048    486.1174     56.3425
            1           7      0.0000      0.0857    439.1281    485.5911     56.3826
            1           8      0.0000      0.1000    440.7277    486.5533     56.3094
            1           9      0.0000      0.1143    444.9218    489.1178     56.1172
            1          10      0.0000      0.1286    452.0513    493.6023     55.7894
            1          11      0.0000      0.1429    462.7301    500.5649     55.2964
            1          12      0.0000      0.1571    477.9449    510.8496     54.5904
            1          13      0.0000      0.1714    499.2399    525.5967     53.5988
            1          14      0.0000      0.1857    529.0545    546.0747     52.2113
            1          15      0.0000      0.2000    571.3641    572.9764     50.2655
            2           1      0.0714      0.0000    427.0382    478.6391     56.9330
            2           2      0.0714      0.0143    407.3532    468.8129     57.8175
            2           3      0.0714      0.0286    393.1218    463.1811     58.4460
            2           4      0.0714      0.0429    383.1530    460.1361     58.8798
            2           5      0.0714      0.0571    376.6642    458.6065     59.1590
            2           6      0.0714      0.0714    373.1665    457.9419     59.3084
            2           7      0.0714      0.0857    372.4028    457.8123     59.3410
            2           8      0.0714      0.1000    374.3177    458.1478     59.2593
            2           9      0.0714      0.1143    379.0517    459.1255     59.0566
            2          10      0.0714      0.1286    386.9587    461.2033     58.7149
            2          11      0.0714      0.1429    398.6494    465.2010     58.2031
            2          12      0.0714      0.1571    415.0771    472.4169     57.4724
            2          13      0.0714      0.1714    437.6923    484.7353     56.4482
            2          14      0.0714      0.1857    468.7317    504.5804     55.0183
            2          15      0.0714      0.2000    511.7734    534.2846     53.0148
            3           1      0.1429      0.0000    408.0298    469.1143     57.7874
            3           2      0.1429      0.0143    388.4679    461.6597     58.6492
            3           3      0.1429      0.0286    374.2366    458.1329     59.2628
            3           4      0.1429      0.0429    364.2342    456.7903     59.6863
            3           5      0.1429      0.0571    357.7336    456.4798     59.9578
            3           6      0.1429      0.0714    354.2807    456.5077     60.1008
            3           7      0.1429      0.0857    353.6405    456.5281     60.1272
            3           8      0.1429      0.1000    355.7720    456.4788     60.0392
