 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              928

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              928

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:              928

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    4980.0000000000000       seconds
 Maximum Temperature :    1496.5495911601645
 Minimum Temperature :    1383.3557590095415
 Average(algebraic, non-weigthed) Temperature :    1432.3347180403252
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1494.0956    703.0000     54.4228
            1           2      0.0000      0.0067   1492.6376    703.0000     54.3269
            1           3      0.0000      0.0133   1491.2585    703.0000     54.2364
            1           4      0.0000      0.0200   1489.9641    703.0000     54.1516
            1           5      0.0000      0.0267   1488.7600    703.0000     54.0730
            1           6      0.0000      0.0333   1487.6514    703.0000     54.0007
            1           7      0.0000      0.0400   1486.6432    703.0000     53.9350
            1           8      0.0000      0.0467   1485.7399    703.0000     53.8763
            1           9      0.0000      0.0533   1484.9455    703.0000     53.8247
            1          10      0.0000      0.0600   1484.2637    703.0000     53.7805
            1          11      0.0000      0.0667   1483.6975    703.0000     53.7439
            1          12      0.0000      0.0733   1483.2494    703.0000     53.7149
            1          13      0.0000      0.0800   1482.9216    703.0000     53.6937
            1          14      0.0000      0.0867   1482.7154    703.0000     53.6804
            1          15      0.0000      0.0933   1482.6318    703.0000     53.6750
            1          16      0.0000      0.1000   1482.6711    703.0000     53.6775
            1          17      0.0000      0.1067   1482.8330    703.0000     53.6880
            1          18      0.0000      0.1133   1483.1167    703.0000     53.7063
            1          19      0.0000      0.1200   1483.5208    703.0000     53.7324
            1          20      0.0000      0.1267   1484.0432    703.0000     53.7663
            1          21      0.0000      0.1333   1484.6816    703.0000     53.8076
            1          22      0.0000      0.1400   1485.4327    703.0000     53.8564
            1          23      0.0000      0.1467   1486.2932    703.0000     53.9123
            1          24      0.0000      0.1533   1487.2590    703.0000     53.9751
            1          25      0.0000      0.1600   1488.3257    703.0000     54.0446
            1          26      0.0000      0.1667   1489.4884    703.0000     54.1205
            1          27      0.0000      0.1733   1490.7420    703.0000     54.2025
            1          28      0.0000      0.1800   1492.0808    703.0000     54.2903
            1          29      0.0000      0.1867   1493.4991    703.0000     54.3835
            1          30      0.0000      0.1933   1494.9908    703.0000     54.4818
            1          31      0.0000      0.2000   1496.5496    703.0000     54.5847
            2           1      0.0333      0.0000   1486.2032    703.0000     53.9064
            2           2      0.0333      0.0067   1484.1368    703.0000     53.7723
            2           3      0.0333      0.0133   1482.1806    703.0000     53.6458
            2           4      0.0333      0.0200   1480.3434    703.0000     53.5274
            2           5      0.0333      0.0267   1478.6333    703.0000     53.4175
            2           6      0.0333      0.0333   1477.0580    703.0000     53.3165
            2           7      0.0333      0.0400   1475.6247    703.0000     53.2249
            2           8      0.0333      0.0467   1474.3400    703.0000     53.1429
            2           9      0.0333      0.0533   1473.2098    703.0000     53.0710
            2          10      0.0333      0.0600   1472.2395    703.0000     53.0094
            2          11      0.0333      0.0667   1471.4335    703.0000     52.9583
            2          12      0.0333      0.0733   1470.7957    703.0000     52.9179
            2          13      0.0333      0.0800   1470.3291    703.0000     52.8883
            2          14      0.0333      0.0867   1470.0357    703.0000     52.8698
            2          15      0.0333      0.0933   1469.9170    703.0000     52.8623
            2          16      0.0333      0.1000   1469.9734    703.0000     52.8658
            2          17      0.0333      0.1067   1470.2046    703.0000     52.8805
            2          18      0.0333      0.1133   1470.6092    703.0000     52.9061
            2          19      0.0333      0.1200   1471.1852    703.0000     52.9425
            2          20      0.0333      0.1267   1471.9298    703.0000     52.9897
            2          21      0.0333      0.1333   1472.8391    703.0000     53.0475
            2          22      0.0333      0.1400   1473.9088    703.0000     53.1155
            2          23      0.0333      0.1467   1475.1337    703.0000     53.1935
            2          24      0.0333      0.1533   1476.5079    703.0000     53.2813
            2          25      0.0333      0.1600   1478.0250    703.0000     53.3784
            2          26      0.0333      0.1667   1479.6778    703.0000     53.4846
            2          27      0.0333      0.1733   1481.4587    703.0000     53.5992
            2          28      0.0333      0.1800   1483.3598    703.0000     53.7220
            2          29      0.0333      0.1867   1485.3724    703.0000     53.8524
            2          30      0.0333      0.1933   1487.4879    703.0000     53.9900
            2          31      0.0333      0.2000   1489.6970    703.0000     54.1342
            3           1      0.0667      0.0000   1478.5742    703.0000     53.4137
            3           2      0.0667      0.0067   1475.9171    703.0000     53.2436
            3           3      0.0667      0.0133   1473.3998    703.0000     53.0831
            3           4      0.0667      0.0200   1471.0336    703.0000     52.9329
            3           5      0.0667      0.0267   1468.8296    703.0000     52.7936
            3           6      0.0667      0.0333   1466.7981    703.0000     52.6657
            3           7      0.0667      0.0400   1464.9486    703.0000     52.5496
            3           8      0.0667      0.0467   1463.2900    703.0000     52.4458
            3           9      0.0667      0.0533   1461.8304    703.0000     52.3548
            3          10      0.0667      0.0600   1460.5768    703.0000     52.2768
            3          11      0.0667      0.0667   1459.5355    703.0000     52.2121
            3          12      0.0667      0.0733   1458.7114    703.0000     52.1610
            3          13      0.0667      0.0800   1458.1087    703.0000     52.1237
            3          14      0.0667      0.0867   1457.7303    703.0000     52.1003
            3          15      0.0667      0.0933   1457.5780    703.0000     52.0909
            3          16      0.0667      0.1000   1457.6524    703.0000     52.0955
            3          17      0.0667      0.1067   1457.9530    703.0000     52.1141
            3          18      0.0667      0.1133   1458.4781    703.0000     52.1466
            3          19      0.0667      0.1200   1459.2249    703.0000     52.1929
            3          20      0.0667      0.1267   1460.1895    703.0000     52.2527
            3          21      0.0667      0.1333   1461.3670    703.0000     52.3259
            3          22      0.0667      0.1400   1462.7513    703.0000     52.4122
            3          23      0.0667      0.1467   1464.3354    703.0000     52.5112
            3          24      0.0667      0.1533   1466.1115    703.0000     52.6225
            3          25      0.0667      0.1600   1468.0708    703.0000     52.7458
            3          26      0.0667      0.1667   1470.2040    703.0000     52.8804
            3          27      0.0667      0.1733   1472.5008    703.0000     53.0260
            3          28      0.0667      0.1800   1474.9505    703.0000     53.1819
            3          29      0.0667      0.1867   1477.5418    703.0000     53.3475
            3          30      0.0667      0.1933   1480.2631    703.0000     53.5222
            3          31      0.0667      0.2000   1483.1023    703.0000     53.7054
            4           1      0.1000      0.0000   1471.3408    703.0000     52.9524
            4           2      0.1000      0.0067   1468.1215    703.0000     52.7490
            4           3      0.1000      0.0133   1465.0691    703.0000     52.5572
            4           4      0.1000      0.0200   1462.1981    703.0000     52.3777
            4           5      0.1000      0.0267   1459.5219    703.0000     52.2113
            4           6      0.1000      0.0333   1457.0536    703.0000     52.0585
            4           7      0.1000      0.0400   1454.8053    703.0000     51.9199
            4           8      0.1000      0.0467   1452.7882    703.0000     51.7961
            4           9      0.1000      0.0533   1451.0124    703.0000     51.6875
            4          10      0.1000      0.0600   1449.4869    703.0000     51.5945
            4          11      0.1000      0.0667   1448.2196    703.0000     51.5175
            4          12      0.1000      0.0733   1447.2169    703.0000     51.4566
            4          13      0.1000      0.0800   1446.4839    703.0000     51.4122
            4          14      0.1000      0.0867   1446.0244    703.0000     51.3844
            4          15      0.1000      0.0933   1445.8407    703.0000     51.3733
            4          16      0.1000      0.1000   1445.9335    703.0000     51.3789
            4          17      0.1000      0.1067   1446.3023    703.0000     51.4012
            4          18      0.1000      0.1133   1446.9448    703.0000     51.4401
            4          19      0.1000      0.1200   1447.8576    703.0000     51.4955
            4          20      0.1000      0.1267   1449.0355    703.0000     51.5671
            4          21      0.1000      0.1333   1450.4723    703.0000     51.6546
            4          22      0.1000      0.1400   1452.1604    703.0000     51.7577
            4          23      0.1000      0.1467   1454.0909    703.0000     51.8760
            4          24      0.1000      0.1533   1456.2539    703.0000     52.0091
            4          25      0.1000      0.1600   1458.6383    703.0000     52.1565
            4          26      0.1000      0.1667   1461.2323    703.0000     52.3175
            4          27      0.1000      0.1733   1464.0230    703.0000     52.4917
            4          28      0.1000      0.1800   1466.9970    703.0000     52.6782
            4          29      0.1000      0.1867   1470.1403    703.0000     52.8764
            4          30      0.1000      0.1933   1473.4382    703.0000     53.0855
