 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              425

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              425

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    1940.0000000000000       seconds
 Maximum Temperature :    1267.4953172244727
 Minimum Temperature :    830.35788297835984
 Average(algebraic, non-weigthed) Temperature :    952.28192332517449
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1225.9881    703.0000     41.2405
            1           2      0.0000      0.0067   1212.3237    703.0000     40.8364
            1           3      0.0000      0.0133   1199.4096    711.8866     40.4801
            1           4      0.0000      0.0200   1187.3194    725.3387     40.1691
            1           5      0.0000      0.0267   1176.1309    740.3906     39.9009
            1           6      0.0000      0.0333   1165.9159    756.2721     39.6724
            1           7      0.0000      0.0400   1156.7354    772.2537     39.4805
            1           8      0.0000      0.0467   1148.6383    787.6676     39.3218
            1           9      0.0000      0.0533   1141.6623    801.9229     39.1931
            1          10      0.0000      0.0600   1135.8355    814.5121     39.0911
            1          11      0.0000      0.0667   1131.1801    825.0117     39.0134
            1          12      0.0000      0.0733   1127.7165    833.0752     38.9576
            1          13      0.0000      0.0800   1125.4478    838.4725     38.9221
            1          14      0.0000      0.0867   1124.3697    841.0692     38.9055
            1          15      0.0000      0.0933   1124.4762    840.8117     38.9071
            1          16      0.0000      0.1000   1125.7621    837.7193     38.9270
            1          17      0.0000      0.1067   1128.2230    831.8827     38.9657
            1          18      0.0000      0.1133   1131.8529    823.4702     39.0244
            1          19      0.0000      0.1200   1136.6387    812.7400     39.1049
            1          20      0.0000      0.1267   1142.5503    800.0586     39.2090
            1          21      0.0000      0.1333   1149.5571    785.8571     39.3394
            1          22      0.0000      0.1400   1157.6241    770.6368     39.4986
            1          23      0.0000      0.1467   1166.7082    754.9682     39.6896
            1          24      0.0000      0.1533   1176.7558    739.4848     39.9154
            1          25      0.0000      0.1600   1187.7008    724.8694     40.1786
            1          26      0.0000      0.1667   1199.4644    711.8323     40.4815
            1          27      0.0000      0.1733   1211.9587    703.0000     40.8260
            1          28      0.0000      0.1800   1225.0933    703.0000     41.2132
            1          29      0.0000      0.1867   1238.7854    703.0000     41.6442
            1          30      0.0000      0.1933   1252.9481    703.0000     42.1190
            1          31      0.0000      0.2000   1267.4953    703.0000     42.6373
            2           1      0.0333      0.0000   1152.5680    780.0339     39.3976
            2           2      0.0333      0.0067   1134.6756    817.0917     39.0714
            2           3      0.0333      0.0133   1117.8126    857.3035     38.8082
            2           4      0.0333      0.0200   1102.1236    899.1668     38.6018
            2           5      0.0333      0.0267   1087.7331    941.2167     38.4450
            2           6      0.0333      0.0333   1074.7393    982.0962     38.3301
            2           7      0.0333      0.0400   1063.1916   1020.6798     38.2491
            2           8      0.0333      0.0467   1053.1064   1056.0685     38.1946
            2           9      0.0333      0.0533   1044.4769   1087.5726     38.1599
            2          10      0.0333      0.0600   1037.2806   1114.6909     38.1394
            2          11      0.0333      0.0667   1031.4825   1246.6199     38.1283
            2          12      0.0333      0.0733   1027.3081   1223.3931     38.1235
            2          13      0.0333      0.0800   1024.6329   1208.8752     38.1217
            2          14      0.0333      0.0867   1023.3805   1202.1765     38.1212
            2          15      0.0333      0.0933   1023.5132   1202.8833     38.1212
            2          16      0.0333      0.1000   1025.0269   1210.9954     38.1219
