 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              586

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              586

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    2940.0000000000000       seconds
 Maximum Temperature :    1352.3470590245356
 Minimum Temperature :    1012.1218151352562
 Average(algebraic, non-weigthed) Temperature :    1132.8283810130538
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1336.6370    703.0000     45.5154
            1           2      0.0000      0.0067   1330.4903    703.0000     45.2324
            1           3      0.0000      0.0133   1324.6740    703.0000     44.9693
            1           4      0.0000      0.0200   1319.2155    703.0000     44.7267
            1           5      0.0000      0.0267   1314.1419    703.0000     44.5050
            1           6      0.0000      0.0333   1309.4800    703.0000     44.3044
            1           7      0.0000      0.0400   1305.2551    703.0000     44.1253
            1           8      0.0000      0.0467   1301.4912    703.0000     43.9678
            1           9      0.0000      0.0533   1298.2102    703.0000     43.8322
            1          10      0.0000      0.0600   1295.4318    703.0000     43.7186
            1          11      0.0000      0.0667   1293.1727    703.0000     43.6270
            1          12      0.0000      0.0733   1291.4467    703.0000     43.5575
            1          13      0.0000      0.0800   1290.2641    703.0000     43.5101
            1          14      0.0000      0.0867   1289.6315    703.0000     43.4848
            1          15      0.0000      0.0933   1289.5515    703.0000     43.4816
            1          16      0.0000      0.1000   1290.0228    703.0000     43.5005
            1          17      0.0000      0.1067   1291.0403    703.0000     43.5412
            1          18      0.0000      0.1133   1292.5949    703.0000     43.6036
            1          19      0.0000      0.1200   1294.6738    703.0000     43.6877
            1          20      0.0000      0.1267   1297.2609    703.0000     43.7933
            1          21      0.0000      0.1333   1300.3370    703.0000     43.9199
            1          22      0.0000      0.1400   1303.8801    703.0000     44.0675
            1          23      0.0000      0.1467   1307.8660    703.0000     44.2357
            1          24      0.0000      0.1533   1312.2686    703.0000     44.4240
            1          25      0.0000      0.1600   1317.0604    703.0000     44.6321
            1          26      0.0000      0.1667   1322.2126    703.0000     44.8594
            1          27      0.0000      0.1733   1327.6959    703.0000     45.1054
            1          28      0.0000      0.1800   1333.4805    703.0000     45.3694
            1          29      0.0000      0.1867   1339.5368    703.0000     45.6508
            1          30      0.0000      0.1933   1345.8353    703.0000     45.9487
            1          31      0.0000      0.2000   1352.3471    703.0000     46.2623
            2           1      0.0333      0.0000   1302.6086    703.0000     44.0144
            2           2      0.0333      0.0067   1294.0537    703.0000     43.6626
            2           3      0.0333      0.0133   1285.9450    703.0000     43.3388
            2           4      0.0333      0.0200   1278.3247    703.0000     43.0431
            2           5      0.0333      0.0267   1271.2338    703.0000     42.7755
            2           6      0.0333      0.0333   1264.7120    703.0000     42.5357
            2           7      0.0333      0.0400   1258.7970    703.0000     42.3237
            2           8      0.0333      0.0467   1253.5241    703.0000     42.1389
            2           9      0.0333      0.0533   1248.9255    703.0000     41.9811
            2          10      0.0333      0.0600   1245.0302    703.0000     41.8499
