 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              524

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              524

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    2540.0000000000000       seconds
 Maximum Temperature :    1327.5232841490918
 Minimum Temperature :    951.85058745938545
 Average(algebraic, non-weigthed) Temperature :    1069.8171204622179
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1304.5091    703.0000     44.0939
            1           2      0.0000      0.0067   1296.0889    703.0000     43.7453
            1           3      0.0000      0.0133   1288.1059    703.0000     43.4242
            1           4      0.0000      0.0200   1280.5982    703.0000     43.1304
            1           5      0.0000      0.0267   1273.6049    703.0000     42.8641
            1           6      0.0000      0.0333   1267.1648    703.0000     42.6252
            1           7      0.0000      0.0400   1261.3162    703.0000     42.4134
            1           8      0.0000      0.0467   1256.0961    703.0000     42.2285
            1           9      0.0000      0.0533   1251.5391    703.0000     42.0704
            1          10      0.0000      0.0600   1247.6794    703.0000     41.9389
            1          11      0.0000      0.0667   1244.5473    703.0000     41.8338
            1          12      0.0000      0.0733   1242.1676    703.0000     41.7549
            1          13      0.0000      0.0800   1240.5587    703.0000     41.7020
            1          14      0.0000      0.0867   1239.7325    703.0000     41.6750
            1          15      0.0000      0.0933   1239.6939    703.0000     41.6737
            1          16      0.0000      0.1000   1240.4410    703.0000     41.6981
            1          17      0.0000      0.1067   1241.9646    703.0000     41.7482
            1          18      0.0000      0.1133   1244.2488    703.0000     41.8238
            1          19      0.0000      0.1200   1247.2711    703.0000     41.9251
            1          20      0.0000      0.1267   1251.0027    703.0000     42.0520
            1          21      0.0000      0.1333   1255.4092    703.0000     42.2045
            1          22      0.0000      0.1400   1260.4515    703.0000     42.3825
            1          23      0.0000      0.1467   1266.0908    703.0000     42.5859
            1          24      0.0000      0.1533   1272.2852    703.0000     42.8147
            1          25      0.0000      0.1600   1278.9917    703.0000     43.0686
            1          26      0.0000      0.1667   1286.1662    703.0000     43.3475
            1          27      0.0000      0.1733   1293.7643    703.0000     43.6509
            1          28      0.0000      0.1800   1301.7420    703.0000     43.9783
            1          29      0.0000      0.1867   1310.0557    703.0000     44.3290
            1          30      0.0000      0.1933   1318.6632    703.0000     44.7024
            1          31      0.0000      0.2000   1327.5233    703.0000     45.0976
            2           1      0.0333      0.0000   1258.1652    703.0000     42.3013
            2           2      0.0333      0.0067   1246.5323    703.0000     41.9002
            2           3      0.0333      0.0133   1235.4893    703.0000     41.5379
            2           4      0.0333      0.0200   1225.0925    703.0000     41.2132
            2           5      0.0333      0.0267   1215.3980    703.0000     40.9249
            2           6      0.0333      0.0333   1206.4602    703.0000     40.6715
            2           7      0.0333      0.0400   1198.3299    712.9674     40.4514
            2           8      0.0333      0.0467   1191.0694    720.8507     40.2632
            2           9      0.0333      0.0533   1184.7328    728.5981     40.1054
            2          10      0.0333      0.0600   1179.3689    735.7804     39.9766
            2          11      0.0333      0.0667   1175.0197    742.0200     39.8753
            2          12      0.0333      0.0733   1171.7192    747.0016     39.8003
            2          13      0.0333      0.0800   1169.4929    750.4811     39.7506
            2          14      0.0333      0.0867   1168.3574    752.2929     39.7256
            2          15      0.0333      0.0933   1168.3194    752.3538     39.7248
            2          16      0.0333      0.1000   1169.3765    750.6657     39.7481
            2          17      0.0333      0.1067   1171.5166    747.3143     39.7957
            2          18      0.0333      0.1133   1174.7181    742.4664     39.8683
            2          19      0.0333      0.1200   1178.9506    736.3644     39.9667
            2          20      0.0333      0.1267   1184.1750    729.3185     40.0918
            2          21      0.0333      0.1333   1190.3445    721.6963     40.2449
            2          22      0.0333      0.1400   1197.4055    713.9117     40.4270
            2          23      0.0333      0.1467   1205.2990    703.0000     40.6395
            2          24      0.0333      0.1533   1213.9564    703.0000     40.8832
            2          25      0.0333      0.1600   1223.3215    703.0000     41.1595
            2          26      0.0333      0.1667   1233.3345    703.0000     41.4693
            2          27      0.0333      0.1733   1243.9329    703.0000     41.8133
            2          28      0.0333      0.1800   1255.0544    703.0000     42.1921
            2          29      0.0333      0.1867   1266.6367    703.0000     42.6058
            2          30      0.0333      0.1933   1278.6191    703.0000     43.0544
            2          31      0.0333      0.2000   1290.9424    703.0000     43.5372
            3           1      0.0667      0.0000   1214.9218    703.0000     40.9111
            3           2      0.0667      0.0067   1200.5076    703.0000     40.5094
