 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              331

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              331

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    1340.0000000000000       seconds
 Maximum Temperature :    1117.1556344728219
 Minimum Temperature :    657.91623332414713
 Average(algebraic, non-weigthed) Temperature :    773.96795123826382
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1041.9408   1097.0425     38.1518
            1           2      0.0000      0.0067   1020.7648   1188.3832     38.1209
            1           3      0.0000      0.0133   1003.5464   1104.0366     38.1439
            1           4      0.0000      0.0200    989.3386   1042.3868     38.1951
            1           5      0.0000      0.0267    977.5150    996.1497     38.2595
            1           6      0.0000      0.0333    967.6501    960.8637     38.3284
            1           7      0.0000      0.0400    959.4470    933.6741     38.3960
            1           8      0.0000      0.0467    952.6950    912.6888     38.4587
            1           9      0.0000      0.0533    947.2410    896.6198     38.5139
            1          10      0.0000      0.0600    942.9728    884.5754     38.5600
            1          11      0.0000      0.0667    939.8069    875.9345     38.5957
            1          12      0.0000      0.0733    937.6810    870.2694     38.6205
            1          13      0.0000      0.0800    936.5490    867.2971     38.6340
            1          14      0.0000      0.0867    936.3774    866.8493     38.6360
            1          15      0.0000      0.0933    937.1434    868.8541     38.6269
            1          16      0.0000      0.1000    938.8334    873.3267     38.6070
            1          17      0.0000      0.1067    941.4425    880.3679     38.5771
            1          18      0.0000      0.1133    944.9752    890.1688     38.5381
            1          19      0.0000      0.1200    949.4460    903.0234     38.4911
            1          20      0.0000      0.1267    954.8819    919.3514     38.4377
            1          21      0.0000      0.1333    961.3257    939.7343     38.3797
            1          22      0.0000      0.1400    968.8418    964.9736     38.3194
            1          23      0.0000      0.1467    977.5243    996.1843     38.2595
            1          24      0.0000      0.1533    987.5107   1034.9468     38.2037
            1          25      0.0000      0.1600    999.0018   1083.5651     38.1572
            1          26      0.0000      0.1667   1012.2945   1145.5172     38.1269
            1          27      0.0000      0.1733   1027.8339   1226.2800     38.1239
            1          28      0.0000      0.1800   1046.2999   1080.8246     38.1663
            1          29      0.0000      0.1867   1067.3053   1006.6954     38.2757
            1          30      0.0000      0.1933   1090.9076    931.6458     38.4769
            1          31      0.0000      0.2000   1117.1556    858.9714     38.7988
            2           1      0.0333      0.0000    958.8873    931.8877     38.4010
            2           2      0.0333      0.0067    935.9438    865.7207     38.6412
            2           3      0.0333      0.0133    916.6713    819.8778     38.8981
            2           4      0.0333      0.0200    900.4206    787.2696     39.1529
            2           5      0.0333      0.0267    886.7101    763.5736     39.3946
            2           6      0.0333      0.0333    875.1768    746.0673     39.6163
            2           7      0.0333      0.0400    865.5437    732.9887     39.8143
            2           8      0.0333      0.0467    857.5973    723.1718     39.9862
            2           9      0.0333      0.0533    851.1723    715.8315     40.1308
            2          10      0.0333      0.0600    846.1405    710.4334     40.2474
            2          11      0.0333      0.0667    842.4027    706.6132     40.3361
            2          12      0.0333      0.0733    839.8829    704.1258     40.3967
            2          13      0.0333      0.0800    838.5241    702.8130     40.4298
            2          14      0.0333      0.0867    838.2853    702.5843     40.4356
            2          15      0.0333      0.0933    839.1392    703.4048     40.4148
            2          16      0.0333      0.1000    841.0710    705.2900     40.3680
            2          17      0.0333      0.1067    844.0780    708.3059     40.2961
            2          18      0.0333      0.1133    848.1688    712.5735     40.2000
            2          19      0.0333      0.1200    853.3647    718.2785     40.0809
            2          20      0.0333      0.1267    859.7002    725.6882     39.9399
            2          21      0.0333      0.1333    867.2252    735.1759     39.7789
            2          22      0.0333      0.1400    876.0078    747.2592     39.5998
            2          23      0.0333      0.1467    886.1383    762.6554     39.4052
            2          24      0.0333      0.1533    897.7348    782.3659     39.1984
            2          25      0.0333      0.1600    910.9502    807.8041     38.9839
            2          26      0.0333      0.1667    925.9825    840.9956     38.7678
            2          27      0.0333      0.1733    943.0880    884.8944     38.5587
            2          28      0.0333      0.1800    962.5996    943.8992     38.3689
            2          29      0.0333      0.1867    984.9521   1024.7146     38.2167
            2          30      0.0333      0.1933   1010.7764   1138.1194     38.1291
            2          31      0.0333      0.2000   1041.0277   1100.4755     38.1491
            3           1      0.0667      0.0000    907.0062    799.8625     39.0455
            3           2      0.0667      0.0067    883.3243    758.2149     39.4579
            3           3      0.0667      0.0133    863.1696    729.9671     39.8648
            3           4      0.0667      0.0200    845.9978    710.2847     40.2508
            3           5      0.0667      0.0267    831.3929    696.2397     40.6067
            3           6      0.0667      0.0333    819.0319    686.0137     40.9271
            3           7      0.0667      0.0400    808.6607    678.4540     41.2093
            3           8      0.0667      0.0467    800.0780    672.8168     41.4518
            3           9      0.0667      0.0533    793.1240    668.6159     41.6541
            3          10      0.0667      0.0600    787.6723    665.5300     41.8164
            3          11      0.0667      0.0667    783.6230    663.3467     41.9389
            3          12      0.0667      0.0733    780.8990    661.9269     42.0222
            3          13      0.0667      0.0800    779.4421    661.1828     42.0672
            3          14      0.0667      0.0867    779.2104    661.0655     42.0743
            3          15      0.0667      0.0933    780.1771    661.5569     42.0445
            3          16      0.0667      0.1000    782.3286    662.6673     41.9784
            3          17      0.0667      0.1067    785.6647    664.4364     41.8769
            3          18      0.0667      0.1133    790.1975    666.9378     41.7408
            3          19      0.0667      0.1200    795.9526    670.2874     41.5712
            3          20      0.0667      0.1267    802.9696    674.6577     41.3692
            3          21      0.0667      0.1333    811.3037    680.2991     41.1363
            3          22      0.0667      0.1400    821.0280    687.5711     40.8742
            3          23      0.0667      0.1467    832.2368    696.9905     40.5854
            3          24      0.0667      0.1533    845.0499    709.3025     40.2731
            3          25      0.0667      0.1600    859.6195    725.5906     39.9417
            3          26      0.0667      0.1667    876.1388    747.4482     39.5972
            3          27      0.0667      0.1733    894.8557    777.2539     39.2481
            3          28      0.0667      0.1800    916.0925    818.6259     38.9066
            3          29      0.0667      0.1867    940.2770    877.2021     38.5903
            3          30      0.0667      0.1933    967.9927    962.0411     38.3258
            3          31      0.0667      0.2000   1000.0610   1088.2723     38.1538
            4           1      0.1000      0.0000    870.7561    739.8988     39.7057
            4           2      0.1000      0.0067    846.9131    711.2430     40.2293
            4           3      0.1000      0.0133    826.4942    692.0177     40.7316
            4           4      0.1000      0.0200    809.0113    678.6957     41.1996
            4           5      0.1000      0.0267    794.0844    669.1779     41.6259
            4           6      0.1000      0.0333    781.4138    662.1923     42.0064
            4           7      0.1000      0.0400    770.7605    656.9566     42.3392
            4           8      0.1000      0.0467    761.9334    652.9838     42.6236
            4           9      0.1000      0.0533    754.7793    649.9674     42.8597
            4          10      0.1000      0.0600    749.1760    647.7129     43.0481
            4          11      0.1000      0.0667    745.0270    646.0967     43.1895
            4          12      0.1000      0.0733    742.2573    645.0402     43.2848
            4          13      0.1000      0.0800    740.8106    644.4949     43.3348
            4          14      0.1000      0.0867    740.6471    644.4336     43.3405
            4          15      0.1000      0.0933    741.7419    644.8454     43.3026
            4          16      0.1000      0.1000    744.0838    645.7350     43.2219
            4          17      0.1000      0.1067    747.6749    647.1233     43.0991
            4          18      0.1000      0.1133    752.5309    649.0522     42.9350
            4          19      0.1000      0.1200    758.6807    651.5917     42.7304
            4          20      0.1000      0.1267    766.1677    654.8521     42.4862
            4          21      0.1000      0.1333    775.0516    659.0027     42.2038
            4          22      0.1000      0.1400    785.4098    664.2992     41.8846
            4          23      0.1000      0.1467    797.3409    671.1262     41.5308
            4          24      0.1000      0.1533    810.9688    680.0623     41.1455
            4          25      0.1000      0.1600    826.4487    691.9795     40.7328
            4          26      0.1000      0.1667    843.9748    708.2008     40.2986
            4          27      0.1000      0.1733    863.7927    730.7526     39.8515
            4          28      0.1000      0.1800    886.2168    762.7811     39.4037
            4          29      0.1000      0.1867    911.6569    809.2596     38.9731
            4          30      0.1000      0.1933    940.6616    878.2432     38.5860
            4          31      0.1000      0.2000    973.9897    983.2061     38.2826
            5           1      0.1333      0.0000    844.8019    709.0471     40.2790
            5           2      0.1333      0.0067    820.9865    687.5384     40.8753
            5           3      0.1333      0.0133    800.5338    673.1033     41.4387
            5           4      0.1333      0.0200    782.9845    663.0105     41.9583
            5           5      0.1333      0.0267    767.9774    655.6713     42.4281
            5           6      0.1333      0.0333    755.2251    650.1506     42.8449
            5           7      0.1333      0.0400    744.4975    645.8934     43.2076
            5           8      0.1333      0.0467    735.6095    642.5681     43.5163
            5           9      0.1333      0.0533    728.4125    639.9756     43.7715
            5          10      0.1333      0.0600    722.7878    637.9958     43.9742
            5          11      0.1333      0.0667    718.6416    636.5557     44.1253
            5          12      0.1333      0.0733    715.9015    635.6107     44.2260
            5          13      0.1333      0.0800    714.5131    635.1335     44.2772
            5          14      0.1333      0.0867    714.4386    635.1079     44.2800
            5          15      0.1333      0.0933    715.6550    635.5259     44.2351
            5          16      0.1333      0.1000    718.1532    636.3869     44.1432
            5          17      0.1333      0.1067    721.9374    637.6993     44.0050
            5          18      0.1333      0.1133    727.0254    639.4841     43.8212
            5          19      0.1333      0.1200    733.4486    641.7816     43.5925
            5          20      0.1333      0.1267    741.2531    644.6613     43.3195
            5          21      0.1333      0.1333    750.5014    648.2384     43.0033
            5          22      0.1333      0.1400    761.2738    652.6986     42.6452
            5          23      0.1333      0.1467    773.6719    658.3360     42.2471
            5          24      0.1333      0.1533    787.8223    665.6127     41.8119
            5          25      0.1333      0.1600    803.8821    675.2507     41.3434
            5          26      0.1333      0.1667    822.0465    688.3792     40.8474
            5          27      0.1333      0.1733    842.5597    706.7705     40.3323
            5          28      0.1333      0.1800    865.7306    733.2298     39.8103
            5          29      0.1333      0.1867    891.9571    772.2552     39.2993
            5          30      0.1333      0.1933    921.7646    831.1984     38.8254
            5          31      0.1333      0.2000    955.8707    922.4057     38.4285
            6           1      0.1667      0.0000    826.2033    691.7741     40.7391
            6           2      0.1667      0.0067    802.4727    674.3373     41.3834
            6           3      0.1667      0.0133    782.0657    662.5303     41.9864
            6           4      0.1667      0.0200    764.5393    654.1258     42.5389
            6           5      0.1667      0.0267    749.5433    647.8581     43.0357
            6           6      0.1667      0.0333    736.7973    643.0038     43.4747
            6           7      0.1667      0.0400    726.0765    639.1492     43.8553
            6           8      0.1667      0.0467    717.1995    636.0578     44.1782
            6           9      0.1667      0.0533    710.0209    633.5949     44.4442
            6          10      0.1667      0.0600    704.4243    631.6841     44.6545
            6          11      0.1667      0.0667    700.3180    630.2817     44.8104
            6          12      0.1667      0.0733    697.6311    629.3621     44.9132
            6          13      0.1667      0.0800    696.3112    628.9094     44.9639
            6          14      0.1667      0.0867    696.3217    628.9130     44.9635
            6          15      0.1667      0.0933    697.6410    629.3655     44.9128
            6          16      0.1667      0.1000    700.2616    630.2624     44.8126
            6          17      0.1667      0.1067    704.1890    631.6038     44.6634
            6          18      0.1667      0.1133    709.4425    633.3972     44.4658
            6          19      0.1667      0.1200    716.0551    635.6635     44.2203
            6          20      0.1667      0.1267    724.0748    638.4459     43.9276
            6          21      0.1667      0.1333    733.5655    641.8240     43.5883
            6          22      0.1667      0.1400    744.6096    645.9364     43.2038
            6          23      0.1667      0.1467    757.3107    651.0158     42.7756
            6          24      0.1667      0.1533    771.7971    657.4436     42.3063
            6          25      0.1667      0.1600    788.2276    665.8365     41.7997
            6          26      0.1667      0.1667    806.7983    677.1856     41.2613
            6          27      0.1667      0.1733    827.7529    693.0805     40.6992
            6          28      0.1667      0.1800    851.3978    716.0805     40.1256
            6          29      0.1667      0.1867    878.1240    750.3423     39.5581
            6          30      0.1667      0.1933    908.4431    802.7204     39.0228
            6          31      0.1667      0.2000    943.0469    884.7806     38.5592
            7           1      0.2000      0.0000    812.9844    681.5006     41.0902
            7           2      0.2000      0.0067    789.3438    666.4578     41.7663
            7           3      0.2000      0.0133    769.0007    656.1402     42.3953
            7           4      0.2000      0.0200    751.5224    648.6464     42.9689
            7           5      0.2000      0.0267    736.5648    642.9184     43.4828
            7           6      0.2000      0.0333    723.8525    638.3680     43.9356
            7           7      0.2000      0.0400    713.1636    634.6705     44.3272
            7           8      0.2000      0.0467    704.3195    631.6483     44.6585
            7           9      0.2000      0.0533    697.1766    629.2063     44.9306
            7          10      0.2000      0.0600    691.6203    627.2941     45.1451
            7          11      0.2000      0.0667    687.5602    625.8849     45.3033
            7          12      0.2000      0.0733    684.9268    624.9641     45.4066
            7          13      0.2000      0.0800    683.6686    624.5220     45.4562
            7          14      0.2000      0.0867    683.7501    624.5507     45.4529
            7          15      0.2000      0.0933    685.1508    625.0427     45.3978
            7          16      0.2000      0.1000    687.8639    625.9907     45.2915
            7          17      0.2000      0.1067    691.8960    627.3893     45.1344
            7          18      0.2000      0.1133    697.2672    629.2374     44.9271
            7          19      0.2000      0.1200    704.0118    631.5433     44.6701
            7          20      0.2000      0.1267    712.1785    634.3330     44.3638
            7          21      0.2000      0.1333    721.8327    637.6628     44.0088
            7          22      0.2000      0.1400    733.0578    641.6402     43.6063
            7          23      0.2000      0.1467    745.9588    646.4561     43.1576
            7          24      0.2000      0.1533    760.6652    652.4368     42.6651
            7          25      0.2000      0.1600    777.3371    660.1262     42.1324
            7          26      0.2000      0.1667    796.1714    670.4188     41.5648
            7          27      0.2000      0.1733    817.4120    684.7749     40.9704
            7          28      0.2000      0.1800    841.3639    705.5793     40.3610
            7          29      0.2000      0.1867    868.4144    736.7467     39.7541
            7          30      0.2000      0.1933    899.0665    784.7808     39.1757
            7          31      0.2000      0.2000    933.9956    860.7048     38.6649
            8           1      0.2333      0.0000    803.6977    675.1304     41.3486
            8           2      0.2333      0.0067    780.1338    661.5348     42.0458
            8           3      0.2333      0.0133    759.8499    652.0880     42.6919
            8           4      0.2333      0.0200    742.4193    645.1015     43.2792
            8           5      0.2333      0.0267    727.5024    639.6529     43.8041
            8           6      0.2333      0.0333    714.8266    635.2411     44.2656
            8           7      0.2333      0.0400    704.1722    631.5981     44.6640
            8           8      0.2333      0.0467    695.3624    628.5836     45.0004
            8           9      0.2333      0.0533    688.2550    626.1269     45.2762
            8          10      0.2333      0.0600    682.7363    624.1934     45.4929
            8          11      0.2333      0.0667    678.7172    622.7668     45.6522
            8          12      0.2333      0.0733    676.1288    621.8384     45.7554
            8          13      0.2333      0.0800    674.9203    621.4023     45.8038
            8          14      0.2333      0.0867    675.0572    621.4517     45.7983
            8          15      0.2333      0.0933    676.5193    621.9790     45.7398
            8          16      0.2333      0.1000    679.3006    622.9750     45.6290
            8          17      0.2333      0.1067    683.4082    624.4303     45.4664
            8          18      0.2333      0.1133    688.8630    626.3384     45.2524
