 ========================================================================
 Mesh information:
 Nx =                   31     -    Ny =                    31
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0000    508.9216    532.3141     53.1476
     400.0000      0.0000      0.0000    623.2660    600.3678     47.9593
     600.0000      0.0000      0.0000    712.6967    634.5105     44.3445
     800.0000      0.0000      0.0000    787.6371    665.5107     41.8174
    1000.0000      0.0000      0.0000    850.9276    715.5621     40.1364
    1140.0000      0.0000      0.0000    889.5665    768.2419     39.3422
    1340.0000      0.0000      0.0000   1041.9408   1097.0425     38.1518
    1540.0000      0.0000      0.0000   1127.8553    832.7479     38.9598
    1740.0000      0.0000      0.0000   1184.6419    728.7151     40.1032
    1940.0000      0.0000      0.0000   1225.9881    703.0000     41.2405
    2140.0000      0.0000      0.0000   1257.9423    703.0000     42.2934
    2340.0000      0.0000      0.0000   1283.5131    703.0000     43.2435
    2540.0000      0.0000      0.0000   1304.5091    703.0000     44.0939
    2740.0000      0.0000      0.0000   1321.9643    703.0000     44.8484
    2940.0000      0.0000      0.0000   1336.6370    703.0000     45.5154
    3060.0000      0.0000      0.0000   1344.5583    703.0000     45.8878
    3260.0000      0.0000      0.0000   1408.6681    703.0000     49.2091
    3460.0000      0.0000      0.0000   1433.4983    703.0000     50.6362
    3660.0000      0.0000      0.0000   1449.0122    703.0000     51.5656
    3860.0000      0.0000      0.0000   1460.4630    703.0000     52.2697
    4060.0000      0.0000      0.0000   1469.4802    703.0000     52.8347
    4260.0000      0.0000      0.0000   1476.7848    703.0000     53.2990
    4460.0000      0.0000      0.0000   1482.7853    703.0000     53.6849
    4660.0000      0.0000      0.0000   1487.7514    703.0000     54.0072
    4860.0000      0.0000      0.0000   1491.8819    703.0000     54.2773
    4980.0000      0.0000      0.0000   1494.0956    703.0000     54.4228
    5180.0000      0.0000      0.0000   1491.6521    703.0000     54.2622
    5380.0000      0.0000      0.0000   1492.7576    703.0000     54.3348
    5580.0000      0.0000      0.0000   1494.2936    703.0000     54.4358
    5780.0000      0.0000      0.0000   1495.7888    703.0000     54.5344
    5980.0000      0.0000      0.0000   1497.1345    703.0000     54.6233
    6180.0000      0.0000      0.0000   1498.3095    703.0000     54.7012
    6380.0000      0.0000      0.0000   1499.3203    703.0000     54.7682
    6580.0000      0.0000      0.0000   1500.1818    703.0000     54.8255
    6780.0000      0.0000      0.0000   1500.9135    703.0000     54.8741
    6980.0000      0.0000      0.0000   1501.5328    703.0000     54.9154
    7180.0000      0.0000      0.0000   1502.0558    703.0000     54.9502
    7380.0000      0.0000      0.0000   1502.4969    703.0000     54.9797
    7580.0000      0.0000      0.0000   1502.8683    703.0000     55.0044
    7780.0000      0.0000      0.0000   1503.1811    703.0000     55.0253
    7980.0000      0.0000      0.0000   1503.4437    703.0000     55.0429
    8180.0000      0.0000      0.0000   1503.6649    703.0000     55.0577
    8380.0000      0.0000      0.0000   1503.8511    703.0000     55.0701
    8400.0000      0.0000      0.0000   1503.8695    703.0000     55.0713
    8600.0000      0.0000      0.0000   1447.9251    703.0000     51.4996
    8800.0000      0.0000      0.0000   1431.0654    703.0000     50.4931
    9000.0000      0.0000      0.0000   1422.4080    703.0000     49.9895
    9200.0000      0.0000      0.0000   1416.8294    703.0000     49.6698
    9400.0000      0.0000      0.0000   1412.8354    703.0000     49.4433
    9600.0000      0.0000      0.0000   1409.8209    703.0000     49.2737
    9800.0000      0.0000      0.0000   1407.4769    703.0000     49.1426
   10000.0000      0.0000      0.0000   1405.6205    703.0000     49.0392
   10200.0000      0.0000      0.0000   1404.1295    703.0000     48.9565
   10400.0000      0.0000      0.0000   1402.9205    703.0000     48.8897
   10600.0000      0.0000      0.0000   1401.9327    703.0000     48.8352
   10800.0000      0.0000      0.0000   1401.1210    703.0000     48.7905
   11000.0000      0.0000      0.0000   1400.4515    703.0000     48.7537
   11200.0000      0.0000      0.0000   1399.8955    703.0000     48.7232
   11400.0000      0.0000      0.0000   1399.4321    703.0000     48.6978
   11600.0000      0.0000      0.0000   1399.0449    703.0000     48.6766
   11800.0000      0.0000      0.0000   1398.7205    703.0000     48.6589
   12000.0000      0.0000      0.0000   1398.4483    703.0000     48.6440
   12200.0000      0.0000      0.0000   1398.2192    703.0000     48.6315
   12400.0000      0.0000      0.0000   1398.0270    703.0000     48.6210
   12600.0000      0.0000      0.0000   1397.8642    703.0000     48.6121
   12800.0000      0.0000      0.0000   1397.7261    703.0000     48.6046
   13000.0000      0.0000      0.0000   1397.6091    703.0000     48.5982
   13200.0000      0.0000      0.0000   1397.5098    703.0000     48.5927
   13400.0000      0.0000      0.0000   1397.4256    703.0000     48.5882
   13600.0000      0.0000      0.0000   1397.3540    703.0000     48.5843
   13800.0000      0.0000      0.0000   1397.2941    703.0000     48.5810
   14000.0000      0.0000      0.0000   1397.2425    703.0000     48.5782
   14200.0000      0.0000      0.0000   1397.1983    703.0000     48.5758
   14400.0000      0.0000      0.0000   1397.1604    703.0000     48.5737
   14600.0000      0.0000      0.0000   1397.1281    703.0000     48.5719
   14800.0000      0.0000      0.0000   1397.1006    703.0000     48.5704
   15000.0000      0.0000      0.0000   1397.0770    703.0000     48.5692
   15200.0000      0.0000      0.0000   1397.0568    703.0000     48.5681
   15400.0000      0.0000      0.0000   1397.0404    703.0000     48.5672
   15600.0000      0.0000      0.0000   1397.0259    703.0000     48.5664
   15800.0000      0.0000      0.0000   1397.0132    703.0000     48.5657
   16000.0000      0.0000      0.0000   1397.0023    703.0000     48.5651
   16200.0000      0.0000      0.0000   1396.9928    703.0000     48.5646
   16400.0000      0.0000      0.0000   1396.9849    703.0000     48.5641
   16600.0000      0.0000      0.0000   1396.9780    703.0000     48.5638
   16800.0000      0.0000      0.0000   1396.9720    703.0000     48.5634
   17000.0000      0.0000      0.0000   1396.9678    703.0000     48.5632
   17200.0000      0.0000      0.0000   1396.9637    703.0000     48.5630
   17400.0000      0.0000      0.0000   1396.9600    703.0000     48.5628
   17600.0000      0.0000      0.0000   1396.9567    703.0000     48.5626
   17800.0000      0.0000      0.0000   1396.9538    703.0000     48.5624
   18000.0000      0.0000      0.0000   1396.9513    703.0000     48.5623
   18200.0000      0.0000      0.0000   1396.9492    703.0000     48.5622
   18400.0000      0.0000      0.0000   1396.9475    703.0000     48.5621
                                                                         
                                                                         
 ========================================================================
 Npos =  2
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0200    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0200    482.0788    513.6931     54.3982
     400.0000      0.0000      0.0200    592.9008    585.1644     49.2949
     600.0000      0.0000      0.0200    680.7327    623.4844     45.5722
     800.0000      0.0000      0.0200    755.2384    650.1560     42.8444
    1000.0000      0.0000      0.0200    819.0949    686.0623     40.9255
    1140.0000      0.0000      0.0200    858.6399    724.4122     39.9632
    1340.0000      0.0000      0.0200    989.3386   1042.3868     38.1951
    1540.0000      0.0000      0.0200   1076.3493    976.8836     38.3430
    1740.0000      0.0000      0.0200   1139.6482    806.2046     39.1572
    1940.0000      0.0000      0.0200   1187.3194    725.3387     40.1691
    2140.0000      0.0000      0.0200   1224.9080    703.0000     41.2076
    2340.0000      0.0000      0.0200   1255.4203    703.0000     42.2049
    2540.0000      0.0000      0.0200   1280.5982    703.0000     43.1304
    2740.0000      0.0000      0.0200   1301.5746    703.0000     43.9713
    2940.0000      0.0000      0.0200   1319.2155    703.0000     44.7267
    3060.0000      0.0000      0.0200   1328.7402    703.0000     45.1527
    3260.0000      0.0000      0.0200   1387.2626    703.0000     48.0406
    3460.0000      0.0000      0.0200   1416.2100    703.0000     49.6346
    3660.0000      0.0000      0.0200   1434.9696    703.0000     50.7231
    3860.0000      0.0000      0.0200   1448.9255    703.0000     51.5604
    4060.0000      0.0000      0.0200   1459.9346    703.0000     52.2369
    4260.0000      0.0000      0.0200   1468.8528    703.0000     52.7951
    4460.0000      0.0000      0.0200   1476.1752    703.0000     53.2600
    4660.0000      0.0000      0.0200   1482.2319    703.0000     53.6491
    4860.0000      0.0000      0.0200   1487.2668    703.0000     53.9756
    4980.0000      0.0000      0.0200   1489.9641    703.0000     54.1516
    5180.0000      0.0000      0.0200   1489.0263    703.0000     54.0903
    5380.0000      0.0000      0.0200   1490.5219    703.0000     54.1881
    5580.0000      0.0000      0.0200   1492.4200    703.0000     54.3126
    5780.0000      0.0000      0.0200   1494.2481    703.0000     54.4328
    5980.0000      0.0000      0.0200   1495.8878    703.0000     54.5409
    6180.0000      0.0000      0.0200   1497.3173    703.0000     54.6354
    6380.0000      0.0000      0.0200   1498.5460    703.0000     54.7168
    6580.0000      0.0000      0.0200   1499.5925    703.0000     54.7863
    6780.0000      0.0000      0.0200   1500.4810    703.0000     54.8454
    6980.0000      0.0000      0.0200   1501.2329    703.0000     54.8954
    7180.0000      0.0000      0.0200   1501.8677    703.0000     54.9377
    7380.0000      0.0000      0.0200   1502.4031    703.0000     54.9734
    7580.0000      0.0000      0.0200   1502.8539    703.0000     55.0035
    7780.0000      0.0000      0.0200   1503.2335    703.0000     55.0288
    7980.0000      0.0000      0.0200   1503.5521    703.0000     55.0501
    8180.0000      0.0000      0.0200   1503.8206    703.0000     55.0681
    8380.0000      0.0000      0.0200   1504.0465    703.0000     55.0832
    8400.0000      0.0000      0.0200   1504.0688    703.0000     55.0847
    8600.0000      0.0000      0.0200   1456.7643    703.0000     52.0406
    8800.0000      0.0000      0.0200   1438.1211    703.0000     50.9102
    9000.0000      0.0000      0.0200   1428.0485    703.0000     50.3166
    9200.0000      0.0000      0.0200   1421.4592    703.0000     49.9348
    9400.0000      0.0000      0.0200   1416.7153    703.0000     49.6633
    9600.0000      0.0000      0.0200   1413.1268    703.0000     49.4598
    9800.0000      0.0000      0.0200   1410.3340    703.0000     49.3025
   10000.0000      0.0000      0.0200   1408.1212    703.0000     49.1786
   10200.0000      0.0000      0.0200   1406.3435    703.0000     49.0794
   10400.0000      0.0000      0.0200   1404.9018    703.0000     48.9993
   10600.0000      0.0000      0.0200   1403.7239    703.0000     48.9341
   10800.0000      0.0000      0.0200   1402.7559    703.0000     48.8806
   11000.0000      0.0000      0.0200   1401.9575    703.0000     48.8366
   11200.0000      0.0000      0.0200   1401.2942    703.0000     48.8000
   11400.0000      0.0000      0.0200   1400.7416    703.0000     48.7697
   11600.0000      0.0000      0.0200   1400.2798    703.0000     48.7443
   11800.0000      0.0000      0.0200   1399.8929    703.0000     48.7231
   12000.0000      0.0000      0.0200   1399.5682    703.0000     48.7053
   12200.0000      0.0000      0.0200   1399.2949    703.0000     48.6903
   12400.0000      0.0000      0.0200   1399.0657    703.0000     48.6778
   12600.0000      0.0000      0.0200   1398.8714    703.0000     48.6671
   12800.0000      0.0000      0.0200   1398.7067    703.0000     48.6581
   13000.0000      0.0000      0.0200   1398.5671    703.0000     48.6505
   13200.0000      0.0000      0.0200   1398.4487    703.0000     48.6440
   13400.0000      0.0000      0.0200   1398.3483    703.0000     48.6385
   13600.0000      0.0000      0.0200   1398.2628    703.0000     48.6339
   13800.0000      0.0000      0.0200   1398.1914    703.0000     48.6299
   14000.0000      0.0000      0.0200   1398.1298    703.0000     48.6266
   14200.0000      0.0000      0.0200   1398.0771    703.0000     48.6237
   14400.0000      0.0000      0.0200   1398.0319    703.0000     48.6212
   14600.0000      0.0000      0.0200   1397.9933    703.0000     48.6191
   14800.0000      0.0000      0.0200   1397.9605    703.0000     48.6173
   15000.0000      0.0000      0.0200   1397.9324    703.0000     48.6158
   15200.0000      0.0000      0.0200   1397.9083    703.0000     48.6145
   15400.0000      0.0000      0.0200   1397.8887    703.0000     48.6134
   15600.0000      0.0000      0.0200   1397.8714    703.0000     48.6125
   15800.0000      0.0000      0.0200   1397.8563    703.0000     48.6117
   16000.0000      0.0000      0.0200   1397.8432    703.0000     48.6109
   16200.0000      0.0000      0.0200   1397.8320    703.0000     48.6103
   16400.0000      0.0000      0.0200   1397.8225    703.0000     48.6098
   16600.0000      0.0000      0.0200   1397.8143    703.0000     48.6094
   16800.0000      0.0000      0.0200   1397.8072    703.0000     48.6090
   17000.0000      0.0000      0.0200   1397.8021    703.0000     48.6087
   17200.0000      0.0000      0.0200   1397.7972    703.0000     48.6084
   17400.0000      0.0000      0.0200   1397.7928    703.0000     48.6082
   17600.0000      0.0000      0.0200   1397.7889    703.0000     48.6080
   17800.0000      0.0000      0.0200   1397.7854    703.0000     48.6078
   18000.0000      0.0000      0.0200   1397.7824    703.0000     48.6076
   18200.0000      0.0000      0.0200   1397.7800    703.0000     48.6075
   18400.0000      0.0000      0.0200   1397.7779    703.0000     48.6074
                                                                         
                                                                         
 ========================================================================
 Npos =  3
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0467    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0467    462.1678    500.1920     55.3224
     400.0000      0.0000      0.0467    568.1718    571.0748     50.4107
     600.0000      0.0000      0.0467    654.2003    613.5871     46.6483
     800.0000      0.0000      0.0467    728.1471    639.8814     43.7810
    1000.0000      0.0000      0.0467    792.2511    668.1100     41.6799
    1140.0000      0.0000      0.0467    832.3995    697.1361     40.5813
    1340.0000      0.0000      0.0467    952.6950    912.6888     38.4587
    1540.0000      0.0000      0.0467   1031.4002   1246.1551     38.1282
    1740.0000      0.0000      0.0467   1097.1649    913.2676     38.5443
    1940.0000      0.0000      0.0467   1148.6383    787.6676     39.3218
    2140.0000      0.0000      0.0467   1191.1697    720.7345     40.2658
    2340.0000      0.0000      0.0467   1226.5548    703.0000     41.2579
    2540.0000      0.0000      0.0467   1256.0961    703.0000     42.2285
    2740.0000      0.0000      0.0467   1280.7720    703.0000     43.1371
    2940.0000      0.0000      0.0467   1301.4912    703.0000     43.9678
    3060.0000      0.0000      0.0467   1312.6696    703.0000     44.4413
    3260.0000      0.0000      0.0467   1368.0147    703.0000     47.0404
    3460.0000      0.0000      0.0467   1399.1367    703.0000     48.6816
    3660.0000      0.0000      0.0467   1420.6827    703.0000     49.8902
    3860.0000      0.0000      0.0467   1437.0914    703.0000     50.8489
    4060.0000      0.0000      0.0467   1450.1307    703.0000     51.6337
    4260.0000      0.0000      0.0467   1460.7120    703.0000     52.2852
    4460.0000      0.0000      0.0467   1469.3990    703.0000     52.8295
    4660.0000      0.0000      0.0467   1476.5800    703.0000     53.2859
    4860.0000      0.0000      0.0467   1482.5455    703.0000     53.6694
    4980.0000      0.0000      0.0467   1485.7399    703.0000     53.8763
    5180.0000      0.0000      0.0467   1486.1251    703.0000     53.9013
    5380.0000      0.0000      0.0467   1488.2622    703.0000     54.0405
    5580.0000      0.0000      0.0467   1490.6210    703.0000     54.1946
    5780.0000      0.0000      0.0467   1492.8273    703.0000     54.3393
    5980.0000      0.0000      0.0467   1494.7850    703.0000     54.4682
    6180.0000      0.0000      0.0467   1496.4825    703.0000     54.5802
    6380.0000      0.0000      0.0467   1497.9372    703.0000     54.6765
    6580.0000      0.0000      0.0467   1499.1740    703.0000     54.7585
    6780.0000      0.0000      0.0467   1500.2230    703.0000     54.8282
    6980.0000      0.0000      0.0467   1501.1099    703.0000     54.8872
    7180.0000      0.0000      0.0467   1501.8586    703.0000     54.9371
    7380.0000      0.0000      0.0467   1502.4897    703.0000     54.9792
    7580.0000      0.0000      0.0467   1503.0211    703.0000     55.0146
    7780.0000      0.0000      0.0467   1503.4684    703.0000     55.0445
    7980.0000      0.0000      0.0467   1503.8438    703.0000     55.0696
    8180.0000      0.0000      0.0467   1504.1602    703.0000     55.0908
    8380.0000      0.0000      0.0467   1504.4264    703.0000     55.1086
