 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              714

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              714

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:              714

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    3660.0000000000000       seconds
 Maximum Temperature :    1458.0153221563212
 Minimum Temperature :    1162.0854826363884
 Average(algebraic, non-weigthed) Temperature :    1279.4854433620560
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1449.0122    703.0000     51.5656
            1           2      0.0000      0.0067   1444.0558    703.0000     51.2656
            1           3      0.0000      0.0133   1439.3673    703.0000     50.9845
            1           4      0.0000      0.0200   1434.9696    703.0000     50.7231
            1           5      0.0000      0.0267   1430.8839    703.0000     50.4824
            1           6      0.0000      0.0333   1427.1296    703.0000     50.2630
            1           7      0.0000      0.0400   1423.7241    703.0000     50.0655
            1           8      0.0000      0.0467   1420.6827    703.0000     49.8902
            1           9      0.0000      0.0533   1418.0185    703.0000     49.7376
            1          10      0.0000      0.0600   1415.7427    703.0000     49.6080
            1          11      0.0000      0.0667   1413.8645    703.0000     49.5015
            1          12      0.0000      0.0733   1412.3911    703.0000     49.4183
            1          13      0.0000      0.0800   1411.3278    703.0000     49.3584
            1          14      0.0000      0.0867   1410.6782    703.0000     49.3218
            1          15      0.0000      0.0933   1410.4438    703.0000     49.3087
            1          16      0.0000      0.1000   1410.6247    703.0000     49.3188
            1          17      0.0000      0.1067   1411.2190    703.0000     49.3522
            1          18      0.0000      0.1133   1412.2234    703.0000     49.4088
            1          19      0.0000      0.1200   1413.6327    703.0000     49.4884
            1          20      0.0000      0.1267   1415.4403    703.0000     49.5908
            1          21      0.0000      0.1333   1417.6377    703.0000     49.7159
            1          22      0.0000      0.1400   1420.2150    703.0000     49.8634
            1          23      0.0000      0.1467   1423.1604    703.0000     50.0329
            1          24      0.0000      0.1533   1426.4607    703.0000     50.2241
            1          25      0.0000      0.1600   1430.1009    703.0000     50.4365
            1          26      0.0000      0.1667   1434.0640    703.0000     50.6696
            1          27      0.0000      0.1733   1438.3316    703.0000     50.9227
            1          28      0.0000      0.1800   1442.8834    703.0000     51.1951
            1          29      0.0000      0.1867   1447.6973    703.0000     51.4858
            1          30      0.0000      0.1933   1452.7497    703.0000     51.7938
            1          31      0.0000      0.2000   1458.0153    703.0000     52.1179
            2           1      0.0333      0.0000   1422.7103    703.0000     50.0069
            2           2      0.0333      0.0067   1415.6789    703.0000     49.6044
            2           3      0.0333      0.0133   1409.0123    703.0000     49.2284
            2           4      0.0333      0.0200   1402.7467    703.0000     48.8801
            2           5      0.0333      0.0267   1396.9156    703.0000     48.5604
            2           6      0.0333      0.0333   1391.5496    703.0000     48.2700
            2           7      0.0333      0.0400   1386.6761    703.0000     48.0095
            2           8      0.0333      0.0467   1382.3190    703.0000     47.7791
            2           9      0.0333      0.0533   1378.4994    703.0000     47.5792
            2          10      0.0333      0.0600   1375.2348    703.0000     47.4099
            2          11      0.0333      0.0667   1372.5398    703.0000     47.2712
            2          12      0.0333      0.0733   1370.4259    703.0000     47.1630
            2          13      0.0333      0.0800   1368.9016    703.0000     47.0854
            2          14      0.0333      0.0867   1367.9724    703.0000     47.0382
            2          15      0.0333      0.0933   1367.6412    703.0000     47.0215
            2          16      0.0333      0.1000   1367.9080    703.0000     47.0350
            2          17      0.0333      0.1067   1368.7700    703.0000     47.0787
            2          18      0.0333      0.1133   1370.2220    703.0000     47.1526
            2          19      0.0333      0.1200   1372.2562    703.0000     47.2566
            2          20      0.0333      0.1267   1374.8621    703.0000     47.3907
            2          21      0.0333      0.1333   1378.0265    703.0000     47.5546
            2          22      0.0333      0.1400   1381.7341    703.0000     47.7484
            2          23      0.0333      0.1467   1385.9665    703.0000     47.9718
            2          24      0.0333      0.1533   1390.7031    703.0000     48.2245
            2          25      0.0333      0.1600   1395.9204    703.0000     48.5062
            2          26      0.0333      0.1667   1401.5926    703.0000     48.8165
            2          27      0.0333      0.1733   1407.6910    703.0000     49.1545
            2          28      0.0333      0.1800   1414.1845    703.0000     49.5196
            2          29      0.0333      0.1867   1421.0396    703.0000     49.9107
            2          30      0.0333      0.1933   1428.2203    703.0000     50.3266
            2          31      0.0333      0.2000   1435.6887    703.0000     50.7657
            3           1      0.0667      0.0000   1399.0156    703.0000     48.6750
            3           2      0.0667      0.0067   1390.1001    703.0000     48.1922
            3           3      0.0667      0.0133   1381.6291    703.0000     47.7429
            3           4      0.0667      0.0200   1373.6521    703.0000     47.3283
            3           5      0.0667      0.0267   1366.2155    703.0000     46.9494
            3           6      0.0667      0.0333   1359.3616    703.0000     46.6066
            3           7      0.0667      0.0400   1353.1287    703.0000     46.3004
            3           8      0.0667      0.0467   1347.5508    703.0000     46.0307
            3           9      0.0667      0.0533   1342.6575    703.0000     45.7977
            3          10      0.0667      0.0600   1338.4740    703.0000     45.6010
            3          11      0.0667      0.0667   1335.0210    703.0000     45.4405
            3          12      0.0667      0.0733   1332.3151    703.0000     45.3159
            3          13      0.0667      0.0800   1330.3685    703.0000     45.2268
            3          14      0.0667      0.0867   1329.1893    703.0000     45.1731
            3          15      0.0667      0.0933   1328.7817    703.0000     45.1546
            3          16      0.0667      0.1000   1329.1456    703.0000     45.1711
            3          17      0.0667      0.1067   1330.2775    703.0000     45.2227
            3          18      0.0667      0.1133   1332.1698    703.0000     45.3092
            3          19      0.0667      0.1200   1334.8112    703.0000     45.4308
            3          20      0.0667      0.1267   1338.1869    703.0000     45.5876
            3          21      0.0667      0.1333   1342.2783    703.0000     45.7798
            3          22      0.0667      0.1400   1347.0632    703.0000     46.0074
            3          23      0.0667      0.1467   1352.5157    703.0000     46.2705
            3          24      0.0667      0.1533   1358.6065    703.0000     46.5692
            3          25      0.0667      0.1600   1365.3027    703.0000     46.9034
            3          26      0.0667      0.1667   1372.5679    703.0000     47.2726
            3          27      0.0667      0.1733   1380.3623    703.0000     47.6765
            3          28      0.0667      0.1800   1388.6429    703.0000     48.1142
            3          29      0.0667      0.1867   1397.3637    703.0000     48.5848
            3          30      0.0667      0.1933   1406.4759    703.0000     49.0868
            3          31      0.0667      0.2000   1415.9288    703.0000     49.6186
            4           1      0.1000      0.0000   1378.2216    703.0000     47.5648
            4           2      0.1000      0.0067   1367.6462    703.0000     47.0217
            4           3      0.1000      0.0133   1357.5815    703.0000     46.5186
            4           4      0.1000      0.0200   1348.0896    703.0000     46.0566
            4           5      0.1000      0.0267   1339.2289    703.0000     45.6363
            4           6      0.1000      0.0333   1331.0534    703.0000     45.2581
            4           7      0.1000      0.0400   1323.6118    703.0000     44.9218
            4           8      0.1000      0.0467   1316.9479    703.0000     44.6272
            4           9      0.1000      0.0533   1311.1000    703.0000     44.3738
            4          10      0.1000      0.0600   1306.1005    703.0000     44.1609
            4          11      0.1000      0.0667   1301.9767    703.0000     43.9880
            4          12      0.1000      0.0733   1298.7499    703.0000     43.8544
            4          13      0.1000      0.0800   1296.4362    703.0000     43.7595
            4          14      0.1000      0.0867   1295.0462    703.0000     43.7029
            4          15      0.1000      0.0933   1294.5852    703.0000     43.6841
            4          16      0.1000      0.1000   1295.0533    703.0000     43.7032
            4          17      0.1000      0.1067   1296.4457    703.0000     43.7599
            4          18      0.1000      0.1133   1298.7524    703.0000     43.8545
            4          19      0.1000      0.1200   1301.9586    703.0000     43.9873
            4          20      0.1000      0.1267   1306.0446    703.0000     44.1586
            4          21      0.1000      0.1333   1310.9861    703.0000     44.3689
            4          22      0.1000      0.1400   1316.7539    703.0000     44.6187
            4          23      0.1000      0.1467   1323.3146    703.0000     44.9085
            4          24      0.1000      0.1533   1330.6297    703.0000     45.2387
            4          25      0.1000      0.1600   1338.6569    703.0000     45.6096
            4          26      0.1000      0.1667   1347.3491    703.0000     46.0211
            4          27      0.1000      0.1733   1356.6557    703.0000     46.4730
            4          28      0.1000      0.1800   1366.5220    703.0000     46.9648
            4          29      0.1000      0.1867   1376.8900    703.0000     47.4956
            4          30      0.1000      0.1933   1387.6991    703.0000     48.0639
            4          31      0.1000      0.2000   1398.8865    703.0000     48.6679
            5           1      0.1333      0.0000   1360.3141    703.0000     46.6539
            5           2      0.1333      0.0067   1348.3082    703.0000     46.0671
            5           3      0.1333      0.0133   1336.8678    703.0000     45.5262
            5           4      0.1333      0.0200   1326.0666    703.0000     45.0319
            5           5      0.1333      0.0267   1315.9739    703.0000     44.5847
            5           6      0.1333      0.0333   1306.6540    703.0000     44.1843
            5           7      0.1333      0.0400   1298.1656    703.0000     43.8304
            5           8      0.1333      0.0467   1290.5614    703.0000     43.5220
            5           9      0.1333      0.0533   1283.8876    703.0000     43.2581
            5          10      0.1333      0.0600   1278.1836    703.0000     43.0377
            5          11      0.1333      0.0667   1273.4824    703.0000     42.8595
            5          12      0.1333      0.0733   1269.8102    703.0000     42.7226
            5          13      0.1333      0.0800   1267.1867    703.0000     42.6260
            5          14      0.1333      0.0867   1265.6248    703.0000     42.5689
            5          15      0.1333      0.0933   1265.1309    703.0000     42.5509
            5          16      0.1333      0.1000   1265.7051    703.0000     42.5718
            5          17      0.1333      0.1067   1267.3411    703.0000     42.6316
            5          18      0.1333      0.1133   1270.0263    703.0000     42.7306
            5          19      0.1333      0.1200   1273.7424    703.0000     42.8693
            5          20      0.1333      0.1267   1278.4650    703.0000     43.0485
            5          21      0.1333      0.1333   1284.1638    703.0000     43.2689
            5          22      0.1333      0.1400   1290.8033    703.0000     43.5317
            5          23      0.1333      0.1467   1298.3420    703.0000     43.8376
            5          24      0.1333      0.1533   1306.7336    703.0000     44.1877
            5          25      0.1333      0.1600   1315.9263    703.0000     44.5826
            5          26      0.1333      0.1667   1325.8635    703.0000     45.0227
            5          27      0.1333      0.1733   1336.4843    703.0000     45.5083
            5          28      0.1333      0.1800   1347.7233    703.0000     46.0390
            5          29      0.1333      0.1867   1359.5119    703.0000     46.6141
            5          30      0.1333      0.1933   1371.7787    703.0000     47.2322
            5          31      0.1333      0.2000   1384.4501    703.0000     47.8915
            6           1      0.1667      0.0000   1345.1992    703.0000     45.9183
            6           2      0.1667      0.0067   1331.9873    703.0000     45.3008
            6           3      0.1667      0.0133   1319.3859    703.0000     44.7343
            6           4      0.1667      0.0200   1307.4782    703.0000     44.2192
            6           5      0.1667      0.0267   1296.3433    703.0000     43.7557
            6           6      0.1667      0.0333   1286.0548    703.0000     43.3431
            6           7      0.1667      0.0400   1276.6797    703.0000     42.9804
            6           8      0.1667      0.0467   1268.2788    703.0000     42.6661
            6           9      0.1667      0.0533   1260.9052    703.0000     42.3987
            6          10      0.1667      0.0600   1254.6048    703.0000     42.1764
            6          11      0.1667      0.0667   1249.4159    703.0000     41.9978
            6          12      0.1667      0.0733   1245.3693    703.0000     41.8612
            6          13      0.1667      0.0800   1242.4882    703.0000     41.7654
            6          14      0.1667      0.0867   1240.7881    703.0000     41.7095
            6          15      0.1667      0.0933   1240.2766    703.0000     41.6928
            6          16      0.1667      0.1000   1240.9536    703.0000     41.7149
            6          17      0.1667      0.1067   1242.8113    703.0000     41.7761
            6          18      0.1667      0.1133   1245.8344    703.0000     41.8768
            6          19      0.1667      0.1200   1250.0003    703.0000     42.0177
            6          20      0.1667      0.1267   1255.2800    703.0000     42.2000
            6          21      0.1667      0.1333   1261.6377    703.0000     42.4249
            6          22      0.1667      0.1400   1269.0314    703.0000     42.6938
            6          23      0.1667      0.1467   1277.4131    703.0000     43.0083
            6          24      0.1667      0.1533   1286.7284    703.0000     43.3697
            6          25      0.1667      0.1600   1296.9176    703.0000     43.7792
            6          26      0.1667      0.1667   1307.9154    703.0000     44.2378
            6          27      0.1667      0.1733   1319.6518    703.0000     44.7460
            6          28      0.1667      0.1800   1332.0524    703.0000     45.3038
            6          29      0.1667      0.1867   1345.0390    703.0000     45.9107
