 ========================================================================
 Mesh information:
 Nx =                  121     -    Ny =                   121
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   15600.0000      0.0000      0.0000   1397.4965    703.0000     48.5920
   15800.0000      0.0000      0.0000   1397.4824    703.0000     48.5913
   16000.0000      0.0000      0.0000   1397.4748    703.0000     48.5908
   16200.0000      0.0000      0.0000   1397.4647    703.0000     48.5903
   16400.0000      0.0000      0.0000   1397.4551    703.0000     48.5898
   16600.0000      0.0000      0.0000   1397.4482    703.0000     48.5894
   16800.0000      0.0000      0.0000   1397.4415    703.0000     48.5890
   17000.0000      0.0000      0.0000   1397.4349    703.0000     48.5887
   17200.0000      0.0000      0.0000   1397.4343    703.0000     48.5886
   17400.0000      0.0000      0.0000   1397.4313    703.0000     48.5885
   17600.0000      0.0000      0.0000   1397.4282    703.0000     48.5883
   17800.0000      0.0000      0.0000   1397.4251    703.0000     48.5881
   18000.0000      0.0000      0.0000   1397.4220    703.0000     48.5880
   18200.0000      0.0000      0.0000   1397.4188    703.0000     48.5878
   18400.0000      0.0000      0.0000   1397.4187    703.0000     48.5878
                                                                         
                                                                         
 ========================================================================
 Npos =  2
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0250    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0250    482.3803    513.9011     54.3841
     400.0000      0.0000      0.0250    590.0794    583.6331     49.4211
     600.0000      0.0000      0.0250    676.5900    622.0044     45.7370
     800.0000      0.0000      0.0250    750.3947    648.1959     43.0069
    1000.0000      0.0000      0.0250    814.0172    682.2501     41.0621
    1140.0000      0.0000      0.0250    853.5735    718.5147     40.0761
    1340.0000      0.0000      0.0250    989.8827   1044.6229     38.1926
    1540.0000      0.0000      0.0250   1069.7081    998.6492     38.2924
    1740.0000      0.0000      0.0250   1130.5308    826.5070     39.0028
    1940.0000      0.0000      0.0250   1178.4758    737.0314     39.9555
    2140.0000      0.0000      0.0250   1217.0445    703.0000     40.9729
    2340.0000      0.0000      0.0250   1248.5150    703.0000     41.9672
    2540.0000      0.0000      0.0250   1274.4446    703.0000     42.8957
    2740.0000      0.0000      0.0250   1296.0871    703.0000     43.7453
    2940.0000      0.0000      0.0250   1314.3325    703.0000     44.5133
    3060.0000      0.0000      0.0250   1324.1858    703.0000     44.9475
    3260.0000      0.0000      0.0250   1383.3836    703.0000     47.8352
    3460.0000      0.0000      0.0250   1411.8397    703.0000     49.3872
    3660.0000      0.0000      0.0250   1431.0374    703.0000     50.4914
    3860.0000      0.0000      0.0250   1445.5103    703.0000     51.3534
    4060.0000      0.0000      0.0250   1456.9881    703.0000     52.0544
    4260.0000      0.0000      0.0250   1466.2929    703.0000     52.6339
    4460.0000      0.0000      0.0250   1473.9497    703.0000     53.1181
    4660.0000      0.0000      0.0250   1480.2848    703.0000     53.5236
    4860.0000      0.0000      0.0250   1485.5604    703.0000     53.8647
