 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                        121
 Nodes in Y direction:                        121
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:             3599

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:             3599

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    3060.0000000000000       seconds
 Maximum Temperature :    1357.8440855881174
 Minimum Temperature :    1027.4471473556523
 Average(algebraic, non-weigthed) Temperature :    1142.4570595877603
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1343.6917    703.0000     45.8467
            1           2      0.0000      0.0017   1342.2539    703.0000     45.7786
            1           3      0.0000      0.0033   1340.8342    703.0000     45.7117
            1           4      0.0000      0.0050   1339.4328    703.0000     45.6459
            1           5      0.0000      0.0067   1338.0501    703.0000     45.5812
            1           6      0.0000      0.0083   1336.6865    703.0000     45.5177
            1           7      0.0000      0.0100   1335.3424    703.0000     45.4554
            1           8      0.0000      0.0117   1334.0182    703.0000     45.3942
            1           9      0.0000      0.0133   1332.7142    703.0000     45.3342
            1          10      0.0000      0.0150   1331.4309    703.0000     45.2753
            1          11      0.0000      0.0167   1330.1686    703.0000     45.2177
            1          12      0.0000      0.0183   1328.9276    703.0000     45.1612
            1          13      0.0000      0.0200   1327.7085    703.0000     45.1060
            1          14      0.0000      0.0217   1326.5116    703.0000     45.0519
            1          15      0.0000      0.0233   1325.3372    703.0000     44.9991
            1          16      0.0000      0.0250   1324.1858    703.0000     44.9475
            1          17      0.0000      0.0267   1323.0576    703.0000     44.8971
            1          18      0.0000      0.0283   1321.9532    703.0000     44.8479
            1          19      0.0000      0.0300   1320.8727    703.0000     44.8000
            1          20      0.0000      0.0317   1319.8167    703.0000     44.7533
            1          21      0.0000      0.0333   1318.7855    703.0000     44.7078
            1          22      0.0000      0.0350   1317.7793    703.0000     44.6636
            1          23      0.0000      0.0367   1316.7986    703.0000     44.6207
            1          24      0.0000      0.0383   1315.8436    703.0000     44.5790
            1          25      0.0000      0.0400   1314.9148    703.0000     44.5385
            1          26      0.0000      0.0417   1314.0124    703.0000     44.4994
            1          27      0.0000      0.0433   1313.1367    703.0000     44.4615
            1          28      0.0000      0.0450   1312.2881    703.0000     44.4249
            1          29      0.0000      0.0467   1311.4669    703.0000     44.3895
            1          30      0.0000      0.0483   1310.6733    703.0000     44.3555
            1          31      0.0000      0.0500   1309.9076    703.0000     44.3227
            1          32      0.0000      0.0517   1309.1702    703.0000     44.2912
            1          33      0.0000      0.0533   1308.4612    703.0000     44.2610
            1          34      0.0000      0.0550   1307.7809    703.0000     44.2321
            1          35      0.0000      0.0567   1307.1295    703.0000     44.2045
            1          36      0.0000      0.0583   1306.5074    703.0000     44.1781
            1          37      0.0000      0.0600   1305.9147    703.0000     44.1531
            1          38      0.0000      0.0617   1305.3517    703.0000     44.1294
            1          39      0.0000      0.0633   1304.8184    703.0000     44.1069
            1          40      0.0000      0.0650   1304.3153    703.0000     44.0858
            1          41      0.0000      0.0667   1303.8423    703.0000     44.0660
            1          42      0.0000      0.0683   1303.3997    703.0000     44.0474
            1          43      0.0000      0.0700   1302.9876    703.0000     44.0302
            1          44      0.0000      0.0717   1302.6062    703.0000     44.0143
            1          45      0.0000      0.0733   1302.2557    703.0000     43.9996
            1          46      0.0000      0.0750   1301.9360    703.0000     43.9863
            1          47      0.0000      0.0767   1301.6475    703.0000     43.9743
            1          48      0.0000      0.0783   1301.3900    703.0000     43.9636
            1          49      0.0000      0.0800   1301.1638    703.0000     43.9542
            1          50      0.0000      0.0817   1300.9688    703.0000     43.9461
            1          51      0.0000      0.0833   1300.8052    703.0000     43.9393
            1          52      0.0000      0.0850   1300.6730    703.0000     43.9339
            1          53      0.0000      0.0867   1300.5722    703.0000     43.9297
            1          54      0.0000      0.0883   1300.5028    703.0000     43.9268
            1          55      0.0000      0.0900   1300.4649    703.0000     43.9252
            1          56      0.0000      0.0917   1300.4584    703.0000     43.9250
            1          57      0.0000      0.0933   1300.4833    703.0000     43.9260
            1          58      0.0000      0.0950   1300.5396    703.0000     43.9283
            1          59      0.0000      0.0967   1300.6272    703.0000     43.9320
            1          60      0.0000      0.0983   1300.7460    703.0000     43.9369
            1          61      0.0000      0.1000   1300.8960    703.0000     43.9431
            1          62      0.0000      0.1017   1301.0772    703.0000     43.9506
            1          63      0.0000      0.1033   1301.2893    703.0000     43.9594
            1          64      0.0000      0.1050   1301.5323    703.0000     43.9695
            1          65      0.0000      0.1067   1301.8060    703.0000     43.9809
            1          66      0.0000      0.1083   1302.1104    703.0000     43.9936
            1          67      0.0000      0.1100   1302.4452    703.0000     44.0075
            1          68      0.0000      0.1117   1302.8103    703.0000     44.0228
            1          69      0.0000      0.1133   1303.2055    703.0000     44.0393
            1          70      0.0000      0.1150   1303.6307    703.0000     44.0571
            1          71      0.0000      0.1167   1304.0855    703.0000     44.0761
            1          72      0.0000      0.1183   1304.5699    703.0000     44.0965
            1          73      0.0000      0.1200   1305.0837    703.0000     44.1181
            1          74      0.0000      0.1217   1305.6264    703.0000     44.1409
            1          75      0.0000      0.1233   1306.1980    703.0000     44.1651
            1          76      0.0000      0.1250   1306.7982    703.0000     44.1904
            1          77      0.0000      0.1267   1307.4267    703.0000     44.2170
            1          78      0.0000      0.1283   1308.0832    703.0000     44.2449
            1          79      0.0000      0.1300   1308.7674    703.0000     44.2740
            1          80      0.0000      0.1317   1309.4792    703.0000     44.3044
            1          81      0.0000      0.1333   1310.2180    703.0000     44.3360
            1          82      0.0000      0.1350   1310.9838    703.0000     44.3688
            1          83      0.0000      0.1367   1311.7760    703.0000     44.4028
            1          84      0.0000      0.1383   1312.5945    703.0000     44.4381
            1          85      0.0000      0.1400   1313.4389    703.0000     44.4746
            1          86      0.0000      0.1417   1314.3087    703.0000     44.5122
            1          87      0.0000      0.1433   1315.2038    703.0000     44.5511
            1          88      0.0000      0.1450   1316.1237    703.0000     44.5912
            1          89      0.0000      0.1467   1317.0681    703.0000     44.6325
            1          90      0.0000      0.1483   1318.0366    703.0000     44.6749
            1          91      0.0000      0.1500   1319.0288    703.0000     44.7185
            1          92      0.0000      0.1517   1320.0444    703.0000     44.7633
            1          93      0.0000      0.1533   1321.0829    703.0000     44.8093
            1          94      0.0000      0.1550   1322.1441    703.0000     44.8564
            1          95      0.0000      0.1567   1323.2274    703.0000     44.9046
            1          96      0.0000      0.1583   1324.3326    703.0000     44.9540
            1          97      0.0000      0.1600   1325.4591    703.0000     45.0046
            1          98      0.0000      0.1617   1326.6067    703.0000     45.0562
            1          99      0.0000      0.1633   1327.7749    703.0000     45.1090
            1         100      0.0000      0.1650   1328.9632    703.0000     45.1629
            1         101      0.0000      0.1667   1330.1714    703.0000     45.2178
            1         102      0.0000      0.1683   1331.3989    703.0000     45.2739
            1         103      0.0000      0.1700   1332.6453    703.0000     45.3310
            1         104      0.0000      0.1717   1333.9103    703.0000     45.3892
            1         105      0.0000      0.1733   1335.1935    703.0000     45.4485
            1         106      0.0000      0.1750   1336.4943    703.0000     45.5088
            1         107      0.0000      0.1767   1337.8124    703.0000     45.5701
            1         108      0.0000      0.1783   1339.1474    703.0000     45.6325
            1         109      0.0000      0.1800   1340.4988    703.0000     45.6959
            1         110      0.0000      0.1817   1341.8662    703.0000     45.7603
