            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1          60      0.0000      0.0983   1386.6387    703.0000     48.0075
            1          61      0.0000      0.1000   1386.7418    703.0000     48.0129
            1          62      0.0000      0.1017   1386.8750    703.0000     48.0200
            1          63      0.0000      0.1033   1387.0380    703.0000     48.0287
            1          64      0.0000      0.1050   1387.2309    703.0000     48.0390
            1          65      0.0000      0.1067   1387.4537    703.0000     48.0508
            1          66      0.0000      0.1083   1387.7061    703.0000     48.0643
            1          67      0.0000      0.1100   1387.9883    703.0000     48.0793
            1          68      0.0000      0.1117   1388.3001    703.0000     48.0959
            1          69      0.0000      0.1133   1388.6414    703.0000     48.1141
            1          70      0.0000      0.1150   1389.0122    703.0000     48.1340
            1          71      0.0000      0.1167   1389.4125    703.0000     48.1554
            1          72      0.0000      0.1183   1389.8421    703.0000     48.1784
            1          73      0.0000      0.1200   1390.3009    703.0000     48.2029
            1          74      0.0000      0.1217   1390.7890    703.0000     48.2291
            1          75      0.0000      0.1233   1391.3061    703.0000     48.2569
            1          76      0.0000      0.1250   1391.8523    703.0000     48.2863
            1          77      0.0000      0.1267   1392.4274    703.0000     48.3172
            1          78      0.0000      0.1283   1393.0313    703.0000     48.3498
            1          79      0.0000      0.1300   1393.6640    703.0000     48.3840
            1          80      0.0000      0.1317   1394.3253    703.0000     48.4197
            1          81      0.0000      0.1333   1395.0151    703.0000     48.4571
            1          82      0.0000      0.1350   1395.7334    703.0000     48.4961
            1          83      0.0000      0.1367   1396.4800    703.0000     48.5367
            1          84      0.0000      0.1383   1397.2549    703.0000     48.5789
            1          85      0.0000      0.1400   1398.0578    703.0000     48.6227
            1          86      0.0000      0.1417   1398.8887    703.0000     48.6681
            1          87      0.0000      0.1433   1399.7475    703.0000     48.7151
            1          88      0.0000      0.1450   1400.6340    703.0000     48.7637
            1          89      0.0000      0.1467   1401.5481    703.0000     48.8140
            1          90      0.0000      0.1483   1402.4896    703.0000     48.8659
            1          91      0.0000      0.1500   1403.4585    703.0000     48.9194
            1          92      0.0000      0.1517   1404.4545    703.0000     48.9745
            1          93      0.0000      0.1533   1405.4776    703.0000     49.0313
            1          94      0.0000      0.1550   1406.5275    703.0000     49.0897
            1          95      0.0000      0.1567   1407.6041    703.0000     49.1497
            1          96      0.0000      0.1583   1408.7072    703.0000     49.2113
            1          97      0.0000      0.1600   1409.8367    703.0000     49.2746
            1          98      0.0000      0.1617   1410.9923    703.0000     49.3395
            1          99      0.0000      0.1633   1412.1738    703.0000     49.4060
            1         100      0.0000      0.1650   1413.3811    703.0000     49.4742
            1         101      0.0000      0.1667   1414.6140    703.0000     49.5440
            1         102      0.0000      0.1683   1415.8722    703.0000     49.6154
            1         103      0.0000      0.1700   1417.1554    703.0000     49.6884
            1         104      0.0000      0.1717   1418.4635    703.0000     49.7631
            1         105      0.0000      0.1733   1419.7962    703.0000     49.8394
            1         106      0.0000      0.1750   1421.1532    703.0000     49.9173
            1         107      0.0000      0.1767   1422.5342    703.0000     49.9968
            1         108      0.0000      0.1783   1423.9389    703.0000     50.0779
            1         109      0.0000      0.1800   1425.3671    703.0000     50.1606
            1         110      0.0000      0.1817   1426.8183    703.0000     50.2449
            1         111      0.0000      0.1833   1428.2922    703.0000     50.3308
            1         112      0.0000      0.1850   1429.7885    703.0000     50.4182
            1         113      0.0000      0.1867   1431.3067    703.0000     50.5072
            1         114      0.0000      0.1883   1432.8465    703.0000     50.5978
            1         115      0.0000      0.1900   1434.4073    703.0000     50.6899
            1         116      0.0000      0.1917   1435.9888    703.0000     50.7835
            1         117      0.0000      0.1933   1437.5903    703.0000     50.8786
            1         118      0.0000      0.1950   1439.2115    703.0000     50.9752
            1         119      0.0000      0.1967   1440.8517    703.0000     51.0732
            1         120      0.0000      0.1983   1442.5102    703.0000     51.1727
            1         121      0.0000      0.2000   1444.1865    703.0000     51.2735
            2           1      0.0083      0.0000   1424.6110    703.0000     50.1168
            2           2      0.0083      0.0017   1422.8622    703.0000     50.0157
            2           3      0.0083      0.0033   1421.1377    703.0000     49.9164
            2           4      0.0083      0.0050   1419.4381    703.0000     49.8188
            2           5      0.0083      0.0067   1417.7639    703.0000     49.7231
            2           6      0.0083      0.0083   1416.1158    703.0000     49.6292
            2           7      0.0083      0.0100   1414.4942    703.0000     49.5372
            2           8      0.0083      0.0117   1412.8996    703.0000     49.4470
            2           9      0.0083      0.0133   1411.3325    703.0000     49.3586
            2          10      0.0083      0.0150   1409.7933    703.0000     49.2722
            2          11      0.0083      0.0167   1408.2824    703.0000     49.1876
            2          12      0.0083      0.0183   1406.8003    703.0000     49.1049
            2          13      0.0083      0.0200   1405.3471    703.0000     49.0240
            2          14      0.0083      0.0217   1403.9234    703.0000     48.9451
            2          15      0.0083      0.0233   1402.5294    703.0000     48.8681
            2          16      0.0083      0.0250   1401.1654    703.0000     48.7929
            2          17      0.0083      0.0267   1399.8316    703.0000     48.7197
            2          18      0.0083      0.0283   1398.5285    703.0000     48.6484
            2          19      0.0083      0.0300   1397.2561    703.0000     48.5789
            2          20      0.0083      0.0317   1396.0148    703.0000     48.5114
            2          21      0.0083      0.0333   1394.8047    703.0000     48.4457
