 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         91
 Nodes in Y direction:                         91
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:             1816

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:             1816

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    1940.0000000000000       seconds
 Maximum Temperature :    1267.7885383008004
 Minimum Temperature :    829.42257292624413
 Average(algebraic, non-weigthed) Temperature :    943.88962744915023
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1226.1058    703.0000     41.2441
            1           2      0.0000      0.0022   1221.4747    703.0000     41.1040
            1           3      0.0000      0.0044   1216.9219    703.0000     40.9693
            1           4      0.0000      0.0067   1212.4494    703.0000     40.8400
            1           5      0.0000      0.0089   1208.0591    703.0000     40.7160
            1           6      0.0000      0.0111   1203.7532    703.0000     40.5971
            1           7      0.0000      0.0133   1199.5339    711.7637     40.4834
            1           8      0.0000      0.0156   1195.4051    716.0146     40.3746
            1           9      0.0000      0.0178   1191.3699    720.5033     40.2708
            1          10      0.0000      0.0200   1187.4312    725.2008     40.1719
            1          11      0.0000      0.0222   1183.5921    730.0778     40.0777
            1          12      0.0000      0.0244   1179.8555    735.1054     39.9881
            1          13      0.0000      0.0267   1176.2243    740.2548     39.9030
            1          14      0.0000      0.0289   1172.7011    745.4974     39.8224
            1          15      0.0000      0.0311   1169.2886    750.8052     39.7461
            1          16      0.0000      0.0333   1165.9894    756.1507     39.6740
            1          17      0.0000      0.0356   1162.8057    761.5069     39.6060
            1          18      0.0000      0.0378   1159.7396    766.8477     39.5419
            1          19      0.0000      0.0400   1156.7934    772.1477     39.4817
            1          20      0.0000      0.0422   1153.9687    777.3827     39.4252
            1          21      0.0000      0.0444   1151.2672    782.5290     39.3723
            1          22      0.0000      0.0467   1148.6904    787.5645     39.3228
            1          23      0.0000      0.0489   1146.2397    792.4679     39.2767
            1          24      0.0000      0.0511   1143.9162    797.2191     39.2339
            1          25      0.0000      0.0533   1141.7209    801.7993     39.1941
            1          26      0.0000      0.0556   1139.6547    806.1907     39.1574
            1          27      0.0000      0.0578   1137.7182    810.3769     39.1235
            1          28      0.0000      0.0600   1135.9121    814.3426     39.0924
            1          29      0.0000      0.0622   1134.2367    818.0739     39.0640
            1          30      0.0000      0.0644   1132.6926    821.5576     39.0383
            1          31      0.0000      0.0667   1131.2800    824.7823     39.0150
            1          32      0.0000      0.0689   1129.9990    827.7372     38.9941
            1          33      0.0000      0.0711   1128.8499    830.4130     38.9757
            1          34      0.0000      0.0733   1127.8326    832.8014     38.9595
            1          35      0.0000      0.0756   1126.9472    834.8951     38.9455
            1          36      0.0000      0.0778   1126.1937    836.6879     38.9337
            1          37      0.0000      0.0800   1125.5719    838.1749     38.9240
            1          38      0.0000      0.0822   1125.0817    839.3519     38.9164
            1          39      0.0000      0.0844   1124.7231    840.2159     38.9109
            1          40      0.0000      0.0867   1124.4957    840.7647     38.9074
            1          41      0.0000      0.0889   1124.3995    840.9972     38.9059
            1          42      0.0000      0.0911   1124.4342    840.9133     38.9065
            1          43      0.0000      0.0933   1124.5997    840.5136     38.9090
            1          44      0.0000      0.0956   1124.8957    839.7997     38.9136
            1          45      0.0000      0.0978   1125.3221    838.7742     38.9201
            1          46      0.0000      0.1000   1125.8786    837.4406     38.9288
            1          47      0.0000      0.1022   1126.5650    835.8031     38.9395
            1          48      0.0000      0.1044   1127.3811    833.8673     38.9523
            1          49      0.0000      0.1067   1128.3265    831.6394     38.9673
            1          50      0.0000      0.1089   1129.4010    829.1267     38.9845
            1          51      0.0000      0.1111   1130.6042    826.3374     39.0040
            1          52      0.0000      0.1133   1131.9357    823.2810     39.0258
            1          53      0.0000      0.1156   1133.3950    819.9676     39.0499
